"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-206",2.26460253176248,1.14987560981307,1.35535802807665,0.848392517691305,0.396219408277214,NA
"mmu-miR-133b",25.1160223287879,0.112352678299915,0.712493491952026,0.157689409894961,0.874701545763625,0.930634918281488
"mmu-miR-30a",1817766.15989476,-0.414802049629016,0.165741155443882,-2.50271001501171,0.012324647954292,0.0368273609995452
"mmu-miR-30c",35527.9660473989,-0.657422052789467,0.200548173156702,-3.27812536230773,0.00104498975211517,0.00488120213159061
"mmu-miR-6899",36.0929969104069,-0.0260518770798603,0.351393808998185,-0.0741386911571766,0.940900028867212,0.972402281538981
"mmu-miR-26b",92972.1273704559,-0.473150248874597,0.184118264843859,-2.56981701014753,0.0101752247025981,0.0316860067493187
"mmu-miR-375",5897.20023489978,-0.31065208317825,0.202715988995611,-1.53244983149788,0.125411468613631,0.220401343355639
"mmu-miR-3535",38304.0682742277,-1.2622933752637,0.21913231336228,-5.76041641643609,8.3906672568258e-09,1.86167929760823e-07
"mmu-miR-149",113.447921521556,0.851418652879218,0.357178932830503,2.38373144275912,0.0171381040732509,0.0498690733279021
"mmu-miR-6901",10.2512264964257,-0.320977282623814,0.63361006450533,-0.506584886517557,0.612446114964769,0.731691274488361
"mmu-miR-128",291.921207909831,1.11002194990829,0.327197358681058,3.39251500801481,0.000692541380557586,0.00351217414425633
"mmu-miR-135b",4.81871800609277,-0.87213853767305,0.867393961935223,-1.00546992018165,0.314670626498583,NA
"mmu-miR-1231",2.94971299554656,0.708489999159997,1.11567851499177,0.635030602131137,0.525408456478946,NA
"mmu-miR-181a",234783.424103579,0.191521128027403,0.23409105206632,0.818148008378991,0.413272678532156,0.540654545442272
"mmu-miR-181b",7916.53847637658,0.261379065623856,0.211852372363311,1.23377927142402,0.217285165530655,0.33537492940601
"mmu-miR-8114",118.853664455122,0.103020712512626,0.299282129181801,0.344226074554708,0.730676274505823,0.827302187107645
"mmu-miR-488",3.82969326063718,-0.732623767089562,0.948544210694706,-0.77236649470771,0.439897392365674,NA
"mmu-miR-1843b",1544.02130427262,-0.0901743661154972,0.209466023337922,-0.43049638637586,0.666834594787213,0.774230122129394
"mmu-miR-199a",27613.963120165,-0.217223661887527,0.210147052800888,-1.03367455785042,0.301288330994862,0.431279667351517
"mmu-miR-214",1096.77969982507,0.305894603237309,0.190371344503124,1.60683113330793,0.108091416665713,0.194593067764562
"mmu-miR-350",182.751702682406,0.265320323567574,0.239991789926541,1.10553916718895,0.268926032649259,0.399450801633837
"mmu-miR-1981",138.816561077349,0.0184419769162725,0.246388581948332,0.0748491540088482,0.940334732229657,0.972402281538981
"mmu-miR-664",528.993150037153,-0.658908780707401,0.227178938150018,-2.90039554754979,0.00372692028146047,0.0140750712757284
"mmu-miR-194",166.003501344142,0.408760652003526,0.240568075375881,1.6991475338731,0.0892913890462992,0.167716630219239
"mmu-miR-215",104.702868299583,-0.233040564188654,0.301535223922793,-0.772846903777724,0.43961299112573,0.567500406725943
"mmu-miR-205",169.691927102373,0.123405118115415,0.448710765321897,0.275021523111635,0.783299702626633,0.858245044544613
"mmu-miR-29b",1163.45728956862,-0.174459055963225,0.299421002883756,-0.582654704523033,0.560125771177774,0.688043767363702
"mmu-miR-29c",3463.63062096402,-0.0750402415183626,0.253933398098441,-0.295511508451803,0.767603162217398,0.851559758084926
"mmu-miR-669f",2.63933430365496,1.45269655916279,1.24920936421235,1.16289278705395,0.244873004273773,NA
"mmu-miR-669b",3.64960787383828,-0.0541803447745676,0.965916552686025,-0.0560921589177685,0.955268390382834,NA
"mmu-miR-669d",4.47791798095708,-0.705237474011153,0.887777494696703,-0.794385392988688,0.426971105160773,NA
"mmu-miR-467c",19.5953911878551,1.29717177596489,0.555615275898766,2.33465822887352,0.0195612820390925,0.0538314350688203
"mmu-miR-466c",2.52627601455745,0.812798378854074,1.21761256872683,0.667534484884598,0.504430789920731,NA
"mmu-miR-467e",25.2512951410564,0.0764922008799371,0.401979255691929,0.190288926099608,0.849082730805717,0.910647641800694
"mmu-miR-467d",10.8998760936355,1.06525294704958,0.618823240600285,1.72141716270423,0.0851751520964134,0.162565478463585
"mmu-miR-669c",30.6382715869048,0.417114265397048,0.384630506832004,1.08445445170898,0.278163351911139,0.408760233156173
"mmu-miR-669m",5.42164668481896,0.383740760282461,0.876031450914195,0.438044501578114,0.661354024284417,NA
"mmu-miR-669o",7.61334745146559,1.2967719674671,0.740923970359268,1.75020922435309,0.0800822177040123,0.155860838859318
"mmu-miR-511",38.2975728884191,-0.792873754296124,0.390887872398918,-2.02839179796032,0.0425202765459265,0.0993072248276573
"mmu-miR-7655",11.7869653258349,-0.97914113585389,0.58084053636712,-1.68573140913675,0.0918475442830066,0.17071140429564
"mmu-miR-3087",4.22092340669838,-0.340865603287589,0.94235678820741,-0.361716079889442,0.717564209581954,NA
"mmu-miR-6996",8.18017466305975,1.42022256185263,0.723200451612639,1.96380209482132,0.0495530470751405,0.111337542478955
"mmu-miR-126a",135409.521552797,-1.14537319578351,0.248666179940207,-4.60606744374697,4.10355347031213e-06,4.28459259400237e-05
"mmu-miR-7674",2.03409923667452,0.275377057477542,1.30410094498132,0.211162378600597,0.83276056634096,NA
"mmu-miR-199b",4764.84039646148,-0.654274415834703,0.259002952980672,-2.52612724413041,0.0115327701890374,0.0349925933086179
"mmu-miR-5128",1.62104927489916,-0.375318417374432,1.4213815866726,-0.264051835828997,0.791739976471885,NA
"mmu-miR-5129",14.311293876036,-0.726140164472269,0.524342022926386,-1.38485975321916,0.16609535557041,0.276226610378694
"mmu-miR-7224",44.0205126898182,-0.624530033606874,0.35515764969473,-1.75845862856588,0.0786695050036791,0.155860838859318
"mmu-miR-10b",100835.775183915,-1.17960465700143,0.284055156780837,-4.1527310060826,3.2853083707141e-05,0.000253540102522501
"mmu-miR-130a",11164.2882897691,0.429169632665555,0.241637373655847,1.77608962625459,0.075718145797869,0.152726941808202
"mmu-miR-1955",33.985541210385,0.750575488415792,0.379716506191741,1.97667332385278,0.0480785680306544,0.10940956186463
"mmu-miR-129",5.52323365350641,-1.27289481657767,0.855176525763101,-1.48845855590087,0.136630004039677,NA
"mmu-miR-674",517.989912546286,-0.302455542710363,0.279216577229965,-1.08322917539834,0.278706712831289,0.408760233156173
"mmu-miR-147",23.9514003338809,-1.1046468754752,0.535675016954832,-2.06215866059018,0.0391926330207046,0.0959543773955181
"mmu-miR-103",7417.62091503127,-0.957414940528821,0.178813941974422,-5.3542521906137,8.59109700827363e-08,1.41908937663537e-06
"mmu-miR-499",4.9471631762974,1.03419405007193,0.921341756547787,1.12248689774682,0.261655475335719,NA
"mmu-miR-296",15.0360262005815,-0.29763989708489,0.518741291938552,-0.573773288747846,0.566121226434645,0.688263819809243
"mmu-miR-298",32.8551676865253,1.12447751848033,0.385847900624299,2.91430254424331,0.00356484242455224,0.0136077318356564
"mmu-miR-1a",3206.43514910435,0.993858935680702,1.06494391378293,0.933250026426543,0.350690890706893,0.478827946926719
"mmu-miR-133a",3734.67768144849,1.11538336410812,1.07531293491971,1.03726397022407,0.299612852333195,0.43061766226026
"mmu-miR-551b",2.97297747031586,-0.064913771009529,1.09726331439769,-0.0591597022863756,0.952824906313149,NA
"mmu-miR-7008",25.0599183005054,-0.423114333120823,0.518242426006098,-0.816440939391257,0.414247989747318,0.540654545442272
"mmu-miR-8120",2.61421664683889,0.00363872724010691,1.12778729174728,0.00322643043305573,0.997425685437334,NA
"mmu-miR-15b",2709.85025037104,0.94627664982854,0.190479680524121,4.96786138670949,6.76953218710668e-07,8.90068120897359e-06
"mmu-miR-16",48070.1214141302,0.506665744695022,0.239549777213231,2.11507499856292,0.0344235557074694,0.0859714496511331
"mmu-miR-7010",4.06473498140708,0.0661470681749971,0.946214966489698,0.0699070195649007,0.944267665996036,NA
"mmu-miR-9",9.7981195716924,-1.21565912659785,0.652457824132959,-1.86319955349347,0.0624341956901896,0.131929401607246
"mmu-miR-92b",38642.4896030907,-0.286250862215458,0.208525989007866,-1.37273470600665,0.169834835694383,0.277270582218422
"mmu-miR-190b",34.4259888725616,-0.58045126848003,0.379562446579027,-1.52926421913338,0.126198956047944,0.220692755650346
"mmu-miR-7012",6.28673747441684,-0.512542883332434,0.785155633693286,-0.652791448392835,0.513890737441739,0.649221394276931
"mmu-miR-760",7.69326366982527,0.0524472847175117,0.823681166040731,0.0636742551363839,0.949229604561516,0.972402281538981
"mmu-miR-1956",3.92262103101816,-1.34128041037826,0.967131923823659,-1.38686396068425,0.16548324909886,NA
"mmu-miR-7j",157.019961951187,-0.273251697842069,0.265094968662705,-1.03076908332328,0.302649119686959,0.431487700758516
"mmu-miR-186",31983.6687703788,-0.279834730380011,0.242650050782437,-1.15324406270541,0.248810222527491,0.374269614395166
"mmu-miR-5120",3.66458623195378,-0.0893086262544816,1.06282470757189,-0.0840294976379635,0.933032978976659,NA
"mmu-miR-32",270.044589979559,-0.716041269746773,0.222579806530134,-3.21700912993574,0.00129534476581839,0.00589547938289137
"mmu-miR-455",458.261382356847,0.809483021606669,0.224343472381303,3.60823077673881,0.000308292205466095,0.00171005832719475
"mmu-miR-491",10.51335732669,-0.295907239877507,0.597949502093437,-0.494869949454808,0.620691924109318,0.73448544352936
"mmu-miR-31",1368.82660293343,0.361926232218932,0.19373606598907,1.86814071180402,0.0617424601552937,0.131248942246283
"mmu-miR-872",1768.32558000057,0.279968520382033,0.20214128612415,1.38501404512724,0.166048172749802,0.276226610378694
"mmu-miR-101a",19657.6306818253,-1.19608954133808,0.287053500161639,-4.16678264039478,3.08928801037713e-05,0.000243710498596418
"mmu-miR-7226",95.1922515908593,-0.558177939807704,0.323856672427466,-1.72353385719641,0.0847920279715811,0.162565478463585
"mmu-miR-30e",99535.0045640124,-0.883416121569865,0.182574882512861,-4.83865091085371,1.30723418797612e-06,1.60023495424663e-05
"mmu-miR-7015",17.8809927450389,0.720662973832535,0.497289251972732,1.44918268587886,0.14728657144194,0.252592912376273
"mmu-miR-5122",10.7670040979168,0.385662342269701,0.670375000348801,0.575293443325061,0.565092855108792,0.688263819809243
"mmu-miR-700",171.293364699412,-0.740831692014717,0.21969998840849,-3.3720151620458,0.000746203403115334,0.00362879737131429
"mmu-miR-7019",7.24912860746006,1.27137868838529,0.783849677273245,1.62196748336747,0.104810310676837,0.190808514309113
"mmu-miR-7021",2.46047536642304,-0.25198422106978,1.24351713317653,-0.202638318642296,0.839417737348141,NA
"mmu-miR-34a",1176.06685886577,-1.09184718790552,0.174537826883417,-6.25564788677481,3.9586900731715e-10,1.27757725088717e-08
"mmu-miR-429",4933.42694333913,-0.740281334845698,0.212436658292636,-3.48471558908607,0.00049266040022776,0.00262354315661948
"mmu-miR-200a",10832.2683722811,-0.920490640134624,0.1969628118262,-4.67342353411803,2.96220022561238e-06,3.33005746839142e-05
"mmu-miR-200b",11149.8503103813,-0.909918837573909,0.16944242812249,-5.37007671370319,7.87031556008461e-08,1.39698101191502e-06
"mmu-miR-879",609.796059548025,-0.316672669443982,0.215841748518392,-1.46715207608225,0.14233469041278,0.245285510177364
"mmu-miR-671",568.00213413902,0.514224328841116,0.220868217377033,2.3281952240476,0.0199017396777588,0.0543470583508028
"mmu-miR-1960",3.14735975138457,1.03782265499987,1.13789307936541,0.912056390727544,0.361739033337388,NA
"mmu-miR-3097",7.0717478060342,-0.192637738580781,0.745189156271793,-0.258508510167477,0.796014481917982,0.869492741787334
"mmu-miR-218",551.107660508383,-0.70989669526333,0.196235362063153,-3.61757783000838,0.000297372923814862,0.00167567282467105
"mmu-miR-574",485.659164698913,0.274048464996104,0.280992990025623,0.975285771261107,0.329418526461435,0.460709867612512
"mmu-miR-7025",5.73936555086824,-0.509448510920595,0.796294109933452,-0.639774305203854,0.522319339705005,0.652899174631257
"mmu-miR-701",2.47794053077597,0.271551239331937,1.19177403442121,0.227854636440218,0.819759249936333,NA
"mmu-miR-6240",76.2819435286648,-3.6771154079646,0.388565124355107,-9.46331818653931,2.98322928340943e-21,3.53015465203449e-19
"mmu-miR-702",17.8412287951984,-0.464145059168161,0.47693934787952,-0.973174180808854,0.330466740758773,0.460709867612512
"mmu-miR-25",9003.48593976891,-0.536635054606746,0.179329352805176,-2.99245520162975,0.00276743280129726,0.0106786809180492
"mmu-miR-93",7781.43582831132,-0.19197917207172,0.191310407439085,-1.00349570439783,0.315621748475172,0.447495356574447
"mmu-miR-106b",1000.70295593799,-0.546916882696438,0.172872799761129,-3.16369540756067,0.00155779736358486,0.00682738350706946
"mmu-miR-339",675.883488386332,0.333641914780277,0.190561206474285,1.75083859382104,0.0799737166185744,0.155860838859318
"mmu-miR-7k",8.25317712665166,0.0179400490329295,0.653845739749143,0.0274377394273647,0.978110597860136,0.978110597860136
"mmu-miR-653",98.1699943244551,-1.40272209971072,0.322826949108995,-4.34512082582401,1.39199022776167e-05,0.000123539132713848
"mmu-miR-489",20.6799000153745,-0.667714529591121,0.489279804464001,-1.36468851462731,0.17235097102675,0.279381711025096
"mmu-miR-592",4.27488379403185,1.19343488109921,0.967953416306503,1.23294660775421,0.217595684935513,NA
"mmu-miR-182",39497.6166765404,-0.815299520760703,0.224157762363195,-3.63716835930803,0.000275651766004532,0.00163093961552681
"mmu-miR-96",794.996256108196,0.629171818298026,0.217287395870158,2.89557438791339,0.00378465317804218,0.0141426513495261
"mmu-miR-183",12579.1509129274,-0.688571776635698,0.290044625841796,-2.37402011720527,0.0175955917888763,0.0503744764923476
"mmu-miR-335",2186.22530995354,-0.570959315411188,0.18622672797333,-3.06593646156397,0.00216989420869097,0.00895712144285228
"mmu-miR-29a",23697.1297092053,0.332074342047462,0.261853202010384,1.26816987341745,0.204737293111838,0.320727184598092
"mmu-miR-490",937.576350375216,-0.317331467396139,0.358991005373321,-0.8839538112275,0.376721146972642,0.508501928423148
