"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-30a-5p",1743061.43177096,-0.393586806536178,0.188768873410184,-2.08501962969783,0.0370675187419223,0.0999211374782253
"mmu-miR-30a-3p",8850.35930298466,-0.598543662610991,0.39070871486799,-1.53194346538501,0.125536386339542,0.246652477385438
"mmu-miR-10a-5p",2392980.1780295,0.353788660270894,0.194335285519729,1.82050655044308,0.0686818996249954,0.161706751015812
"mmu-miR-10a-3p",389.133297208889,-0.22268578610114,0.270031132061285,-0.824667083388741,0.409560624431568,0.562893666090678
"mmu-miR-27a-5p",70.5125422364047,0.119326569532243,0.360116559653593,0.331355407946324,0.740376043362675,0.849507013521274
"mmu-miR-27a-3p",67090.4556805209,0.210742732893652,0.205417481614481,1.02592404131,0.304927389484716,0.4648892987226
"mmu-miR-27b-3p",192514.628404402,0.331864355827274,0.189775032250489,1.74872506615748,0.0803385550178075,0.180761748790067
"mmu-miR-27b-5p",155.326608025035,0.0128215480323981,0.31342385023273,0.0409080164859107,0.967369226567181,0.974353841921457
"mmu-miR-143-5p",337.214115645295,0.0412016224308783,0.343886198017623,0.119811794333097,0.904632238722344,0.948843588735091
"mmu-miR-143-3p",1133321.5518807,0.183035710569414,0.475896720585878,0.38461225440696,0.700524713586913,0.817767343475937
"mmu-miR-26a-5p",900527.524582309,0.450793016434164,0.751430019615238,0.59991350447376,0.548563881870674,0.686319834268691
"mmu-miR-26a-1-3p",5.92204552143402,-1.72953986245595,0.710168941957373,-2.43539214442268,0.0148756586038415,0.0485416228125353
"mmu-miR-26b-5p",89790.3040395849,-0.442197635455175,0.214706985099388,-2.05954005292599,0.0394425322038436,0.105305899376769
"mmu-miR-26b-3p",107.704301189655,1.75744728396197,0.306573199870515,5.7325535457902,9.89297882322547e-09,3.06682343519989e-07
"mmu-let-7f-5p",111003.626421967,-0.126878237766419,0.562042175019419,-0.225745047979782,0.821399719094973,0.900473562387023
"mmu-let-7f-2-3p",201.717908944681,-1.77574270312504,0.288338433023743,-6.15853628842748,7.3420361996767e-10,2.92632585672828e-08
"mmu-miR-451a",27915.9151654095,-0.804779530974231,0.268486381724051,-2.99746872003876,0.00272231794295219,0.0126587784347277
"mmu-miR-16-5p",57740.3034925026,0.400510486550539,1.62101529342549,0.247073848207928,0.804851072509118,0.889320591010075
"mmu-miR-16-1-3p",76.8166141093685,-0.624568808707754,0.30838112371068,-2.02531465347963,0.0428350648000262,0.112215803560632
"mmu-miR-125a-5p",129616.839236183,1.35220211703166,0.236964197698137,5.70635619290554,1.15420335258833e-08,3.22022735372143e-07
"mmu-miR-125a-3p",90.6320828339506,1.24646573127988,0.304183903304753,4.09773731528154,4.17208349471512e-05,0.000369527395246196
"mmu-miR-34c-5p",52331.6590517558,-0.371014494446819,0.235752598275209,-1.57374509193621,0.115546392634655,0.231092785269309
"mmu-miR-34c-3p",679.539213197499,0.473314717699736,0.235778881570786,2.00745170452272,0.044701588135265,0.116145249008211
"mmu-miR-30d-5p",401768.642857624,-0.0191847417442482,0.1943702891933,-0.0987020280922108,0.921374858545995,0.955569760460218
"mmu-miR-30d-3p",1136.45041254099,-0.482666739051858,0.22447472562683,-2.15020527457621,0.0315389811287888,0.0879937573493207
"mmu-miR-486a-5p",479042.303833201,-0.616712932309394,0.28732426114075,-2.14640048097883,0.0318410409932364,0.0883945317125668
"mmu-miR-486a-3p",68.4101032794291,-0.0699625567442559,0.38923037184048,-0.179745882659252,0.857352070872055,0.921268084100832
"mmu-miR-486b-5p",628.868166578726,-0.934026330834174,0.282250786655186,-3.30920718380578,0.0009356057473648,0.00522068007029558
"mmu-miR-151-5p",24080.0458330969,1.58614290810492,0.293509196852347,5.40406544365574,6.51471574421489e-08,1.45408455410876e-06
"mmu-miR-151-3p",71764.0067035853,0.330156772770786,0.245329211011398,1.34577032799998,0.178376597458202,0.321077875424764
"mmu-miR-126a-5p",73531.9604392268,-1.85423013101391,0.372681012637471,-4.97538127282496,6.51193376991095e-07,1.10980869128967e-05
"mmu-miR-126a-3p",53821.1941372155,-0.314986035361015,0.261771025144078,-1.20328838987297,0.228864740312719,0.377829955900879
"mmu-miR-153-5p",11.6354148993727,-0.947466283291428,0.562267644358984,-1.68508057114258,0.091973027592595,0.200906961022769
"mmu-miR-153-3p",323.118426030327,-0.0849707313500825,0.298955526394902,-0.284225323996324,0.776237709652446,0.873569229367731
"mmu-let-7c-5p",77972.1845819069,1.98240118041616,0.679387095395588,2.91792586855343,0.0035236811070067,0.0157297124616779
"mmu-let-7c-2-3p",553.469740586447,-2.09277524079989,0.303400053385384,-6.89774183441426,5.28356508954924e-12,4.9137155332808e-10
"mmu-miR-181a-5p",308116.998544265,-0.0644002701298153,1.33052686333777,-0.048402081840167,0.961395800182891,0.970088348104979
"mmu-miR-181a-1-3p",1049.10130310419,-1.2790506011109,0.195117230059757,-6.55529294219265,5.55327535111359e-11,3.87340955740173e-09
"mmu-miR-330-5p",425.713222475469,0.943082602117443,0.260507579430344,3.62017337146081,0.000294405684010127,0.0020281280454031
"mmu-miR-330-3p",100.655891895826,0.542839074275174,0.308403779737417,1.7601570082486,0.0783811890768867,0.177148057043802
"mmu-miR-146b-5p",317694.430498537,-0.649473156692476,0.28293621010945,-2.29547556476153,0.0217058851945662,0.0637467575714101
"mmu-miR-146b-3p",12.7876352600699,0.431141248003022,0.506626014271869,0.851004954063927,0.394766600823497,0.549326092916488
