ID	Lung_F1	Lung_F2	Lung_F3	Lung_M1	Lung_M2	Lung_M3	
mmu-miR-297b-5p	1.0	0.0	0.0	4.0	4.0	2.0	
mmu-miR-6962-3p	1.0	0.0	0.0	1.0	0.0	1.0	
mmu-miR-7657-3p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-miR-7084-5p	2.0	0.0	0.0	1.0	2.0	2.0	
mmu-miR-1843a-3p	28.0	28.0	17.0	94.0	91.0	95.0	
mmu-miR-147-3p	29.0	9.0	6.0	6.0	4.0	18.0	
mmu-miR-5624-5p	0.0	0.0	2.0	1.0	0.0	0.0	
mmu-miR-92a-3p	76540.0	99023.0	49040.0	128414.0	130997.0	162946.0	
mmu-miR-3569-5p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-miR-3066-3p	1.0	1.0	1.0	0.0	0.0	0.0	
mmu-miR-7072-5p	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-mir-17	31.0	37.0	12.0	46.0	42.0	58.0	
mmu-mir-872	15.0	16.0	8.0	6.0	10.0	6.0	
mmu-mir-874	4.0	1.0	0.0	4.0	4.0	6.0	
mmu-mir-92a-2	117.0	93.0	23.0	88.0	105.0	153.0	
mmu-mir-877	29.0	25.0	9.0	28.0	25.0	28.0	
mmu-mir-879	62.0	50.0	14.0	9.0	10.0	14.0	
mmu-mir-92a-1	2861.0	3790.0	2107.0	2881.0	3242.0	3695.0	
mmu-miR-708-3p	76.0	172.0	20.0	54.0	37.0	65.0	
mmu-miR-7015-3p	12.0	8.0	8.0	31.0	27.0	28.0	
mmu-miR-1843a-5p	945.0	776.0	520.0	891.0	1043.0	1150.0	
mmu-miR-466b-3p	12.0	8.0	2.0	20.0	34.0	23.0	
mmu-miR-297b-3p	0.0	0.0	0.0	1.0	1.0	2.0	
mmu-miR-6950-3p	0.0	0.0	0.0	0.0	2.0	0.0	
mmu-mir-409	2.0	4.0	1.0	2.0	1.0	1.0	
mmu-miR-146b-5p	420202.0	255506.0	187687.0	318931.0	307688.0	376043.0	
mmu-miR-29b-2-5p	39.0	34.0	12.0	18.0	27.0	27.0	
mmu-miR-1298-3p	47.0	46.0	31.0	31.0	26.0	34.0	
mmu-miR-147-5p	62.0	27.0	3.0	24.0	30.0	29.0	
mmu-miR-7060-5p	0.0	0.0	0.0	0.0	2.0	0.0	
mmu-miR-434-3p	79.0	172.0	72.0	181.0	241.0	263.0	
mmu-miR-7027-3p	2.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-7117-5p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-3569-3p	0.0	0.0	0.0	0.0	2.0	0.0	
mmu-miR-3100-3p	1.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-7072-3p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-410	0.0	0.0	1.0	0.0	1.0	1.0	
mmu-mir-411	25.0	26.0	12.0	17.0	17.0	40.0	
mmu-mir-412	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-miR-205-3p	0.0	2.0	0.0	1.0	0.0	11.0	
mmu-miR-708-5p	32.0	122.0	21.0	40.0	45.0	109.0	
mmu-miR-7015-5p	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-6937-3p	0.0	2.0	0.0	0.0	0.0	0.0	
mmu-miR-669p-3p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-3098-5p	0.0	0.0	0.0	3.0	0.0	5.0	
mmu-miR-466b-5p	0.0	0.0	0.0	2.0	2.0	3.0	
mmu-mir-421	21.0	12.0	8.0	19.0	35.0	21.0	
mmu-miR-500-5p	3.0	3.0	2.0	3.0	8.0	8.0	
mmu-mir-423	75.0	58.0	47.0	146.0	195.0	203.0	
mmu-miR-6925-5p	0.0	1.0	0.0	1.0	6.0	5.0	
mmu-mir-425	62.0	58.0	21.0	58.0	75.0	77.0	
mmu-miR-181a-2-3p	0.0	0.0	0.0	0.0	0.0	2.0	
mmu-miR-467d-3p	16.0	6.0	7.0	6.0	14.0	22.0	
mmu-mir-429	17.0	24.0	5.0	11.0	24.0	15.0	
mmu-miR-7039-3p	0.0	0.0	0.0	1.0	0.0	1.0	
mmu-mir-297b	8.0	4.0	1.0	6.0	3.0	6.0	
mmu-mir-297c	6.0	3.0	1.0	5.0	1.0	6.0	
mmu-miR-146b-3p	8.0	10.0	6.0	20.0	24.0	18.0	
mmu-miR-7117-3p	1.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-434-5p	62.0	137.0	43.0	182.0	176.0	281.0	
mmu-miR-491-3p	4.0	5.0	1.0	3.0	1.0	0.0	
mmu-mir-431	0.0	5.0	4.0	0.0	1.0	1.0	
mmu-miR-30c-5p	93143.0	73984.0	28528.0	56929.0	75748.0	77699.0	
mmu-mir-365-1	17.0	16.0	8.0	12.0	11.0	14.0	
mmu-mir-1668	0.0	0.0	0.0	8.0	4.0	1.0	
mmu-mir-434	9.0	25.0	8.0	21.0	22.0	44.0	
mmu-mir-365-2	26.0	16.0	11.0	50.0	81.0	62.0	
mmu-miR-184-3p	50.0	148.0	53.0	121.0	141.0	160.0	
mmu-miR-320-3p	2231.0	1690.0	1183.0	2078.0	2658.0	3016.0	
mmu-miR-7084-3p	2.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-3098-3p	2.0	0.0	1.0	2.0	8.0	4.0	
mmu-miR-669p-5p	26.0	25.0	11.0	37.0	74.0	65.0	
mmu-miR-6937-5p	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-miR-669a-5p	26.0	25.0	11.0	37.0	74.0	65.0	
mmu-miR-378b	32.0	61.0	13.0	24.0	14.0	57.0	
mmu-miR-3086-5p	70.0	53.0	38.0	39.0	55.0	53.0	
mmu-miR-378d	31.0	29.0	27.0	13.0	31.0	41.0	
mmu-miR-378c	229.0	300.0	115.0	189.0	144.0	351.0	
mmu-mir-448	1.0	1.0	0.0	1.0	1.0	3.0	
mmu-mir-299a	2.0	8.0	1.0	2.0	1.0	3.0	
mmu-mir-299b	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-467d-5p	3.0	3.0	1.0	11.0	14.0	7.0	
mmu-miR-298-5p	16.0	20.0	10.0	53.0	51.0	72.0	
mmu-miR-6998-5p	0.0	0.0	0.0	1.0	1.0	0.0	
mmu-miR-3112-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-5624-3p	0.0	0.0	0.0	0.0	0.0	2.0	
mmu-miR-491-5p	6.0	7.0	2.0	7.0	10.0	20.0	
mmu-mir-199a-2	6075.0	4451.0	1960.0	4249.0	4936.0	5499.0	
mmu-miR-3086-3p	2.0	0.0	0.0	1.0	2.0	1.0	
mmu-mir-199a-1	6064.0	4440.0	1956.0	4239.0	4934.0	5491.0	
mmu-miR-496a-3p	6.0	7.0	2.0	0.0	0.0	2.0	
mmu-mir-452	21.0	19.0	7.0	13.0	16.0	21.0	
mmu-mir-455	33.0	18.0	16.0	29.0	30.0	38.0	
mmu-miR-127-3p	4406.0	4434.0	1217.0	3497.0	3045.0	4976.0	
mmu-mir-1a-2	11.0	62.0	22.0	91.0	13.0	228.0	
mmu-miR-19b-3p	3971.0	4386.0	1461.0	1436.0	1664.0	2206.0	
mmu-mir-1a-1	11.0	62.0	22.0	89.0	13.0	227.0	
mmu-miR-669a-3p	42.0	35.0	18.0	44.0	53.0	68.0	
mmu-miR-3091-5p	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-mir-6900	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-mir-6901	3.0	0.0	0.0	1.0	4.0	3.0	
mmu-miR-6994-3p	3.0	0.0	0.0	0.0	1.0	1.0	
mmu-mir-7b	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-6906	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-190a-3p	10.0	16.0	3.0	7.0	12.0	4.0	
mmu-miR-504-5p	0.0	1.0	1.0	1.0	1.0	2.0	
mmu-mir-98	5.0	6.0	5.0	1.0	6.0	1.0	
mmu-miR-3475-3p	1.0	1.0	1.0	0.0	3.0	2.0	
mmu-miR-340-3p	105.0	87.0	43.0	271.0	310.0	367.0	
mmu-miR-770-3p	0.0	0.0	0.0	0.0	1.0	1.0	
mmu-mir-93	24.0	18.0	10.0	22.0	28.0	33.0	
mmu-mir-6916	0.0	0.0	0.0	0.0	2.0	1.0	
mmu-mir-6914	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-mir-6911	0.0	1.0	0.0	0.0	1.0	0.0	
mmu-miR-7036b-3p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-7a-5p	1255.0	953.0	865.0	1113.0	1120.0	1643.0	
mmu-miR-1983	7.0	4.0	1.0	0.0	7.0	5.0	
mmu-miR-376b-5p	37.0	42.0	17.0	76.0	80.0	76.0	
mmu-miR-201-5p	10.0	7.0	1.0	3.0	5.0	6.0	
mmu-mir-6917	0.0	0.0	0.0	0.0	1.0	1.0	
mmu-miR-872-3p	786.0	759.0	282.0	1060.0	794.0	1179.0	
mmu-miR-5099	5215.0	5062.0	2245.0	1813.0	2347.0	3791.0	
mmu-miR-7682-5p	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-127-5p	8.0	15.0	9.0	10.0	3.0	13.0	
mmu-mir-490	41.0	47.0	14.0	43.0	30.0	66.0	
mmu-miR-195b	2.0	2.0	0.0	2.0	2.0	7.0	
mmu-miR-135b-5p	6.0	4.0	3.0	2.0	5.0	8.0	
mmu-miR-8120	0.0	1.0	1.0	1.0	3.0	2.0	
mmu-mir-491	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-miR-7040-5p	0.0	0.0	0.0	1.0	1.0	0.0	
mmu-miR-1929-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-1231	0.0	0.0	0.0	1.0	2.0	1.0	
mmu-miR-24-2-5p	4852.0	4098.0	1943.0	11215.0	13069.0	14613.0	
mmu-miR-7007-3p	0.0	1.0	0.0	0.0	1.0	3.0	
mmu-miR-139-3p	11.0	5.0	2.0	61.0	44.0	85.0	
mmu-mir-483	2.0	1.0	2.0	0.0	0.0	1.0	
mmu-miR-3091-3p	4.0	1.0	0.0	1.0	2.0	3.0	
mmu-mir-484	68.0	37.0	13.0	22.0	20.0	32.0	
mmu-mir-6927	0.0	0.0	0.0	1.0	0.0	1.0	
mmu-mir-485	14.0	3.0	2.0	6.0	5.0	7.0	
mmu-mir-6925	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-6922	0.0	0.0	0.0	4.0	0.0	0.0	
