;Lung_F1;Lung_F2;Lung_F3;Lung_M1;Lung_M2;Lung_M3
mmu-miR-6341;0;0;0;0;0;0
mmu-miR-206;1;1;1;2;2;10
mmu-miR-133b;9;45;5;28;8;84
mmu-miR-30a;2032463;1892019;838212;1953360;2045728;2686692
mmu-miR-30c;48537;38922;15252;32005;42360;43616
mmu-miR-6342;0;0;0;0;0;0
mmu-miR-6896;0;3;1;1;0;3
mmu-miR-5103;3;3;0;3;6;2
mmu-miR-6897;0;0;0;2;1;4
mmu-miR-6898;0;0;0;0;0;0
mmu-miR-6349;0;0;0;0;0;0
mmu-miR-6350;0;0;0;0;0;0
mmu-miR-7681;0;0;0;0;0;1
mmu-miR-6899;39;31;14;46;52;55
mmu-miR-6351;0;0;0;0;0;0
mmu-miR-1928;0;0;0;0;0;0
mmu-miR-26b;105604;89452;47934;96145;94805;145183
mmu-miR-375;6446;6085;2544;6908;5873;9909
mmu-miR-6343;0;0;0;0;0;0
mmu-miR-6352;0;0;0;0;0;0
mmu-miR-6344;0;0;0;0;0;0
mmu-miR-6353;0;0;0;0;0;0
mmu-miR-5126;0;0;1;2;2;0
mmu-miR-8096;0;1;0;1;0;0
mmu-miR-3535;45258;43477;27890;29845;33944;31438
mmu-miR-6900;0;1;0;0;0;1
mmu-miR-149;57;105;27;182;132;327
mmu-miR-6901;14;5;6;11;16;11
mmu-miR-6902;1;0;0;0;0;0
mmu-miR-6345;0;0;0;0;0;0
mmu-miR-3473f;1;0;0;0;0;0
mmu-miR-6346;0;0;0;0;0;0
mmu-miR-128;223;130;74;409;836;438
mmu-miR-135b;7;4;3;2;5;8
mmu-miR-6903;0;0;0;0;0;0
mmu-miR-1231;2;2;1;7;4;4
mmu-miR-181a;220387;138405;114894;310484;361483;396669
mmu-miR-181b;6165;5497;3796;10651;12621;13553
mmu-miR-7682;0;0;0;0;3;4
mmu-miR-8114;127;69;57;185;156;175
mmu-miR-488;4;3;3;3;4;5
mmu-miR-1843b;1510;1140;812;1838;2100;2459
mmu-miR-1927;0;1;1;11;18;12
mmu-miR-199a;34942;25924;9931;31974;34671;42721
mmu-miR-214;1028;905;359;1588;1601;1993
mmu-miR-6347;0;0;0;0;0;0
mmu-miR-6348;0;0;0;0;0;0
mmu-miR-6354;0;0;0;0;0;0
mmu-miR-6546;0;0;0;0;0;1
mmu-miR-7683;1;3;2;1;0;2
mmu-miR-350;159;152;68;202;331;327
mmu-miR-6904;0;0;3;0;1;0
mmu-miR-1981;133;105;67;171;213;208
mmu-miR-664;724;573;229;463;685;605
