miRNA,Lung_F1,Lung_F2,Lung_F3,Lung_M1,Lung_M2,Lung_M3
mmu-let-7a-1-3p/7c-2-3p,962.0,901.0,345.0,201.0,389.0,298.0
mmu-let-7a-2-3p,0.0,0.0,0.0,7.0,5.0,5.0
mmu-let-7a-5p,56102.0,42749.0,38150.0,78875.0,131515.0,111151.0
mmu-let-7b-3p,990.0,809.0,361.0,782.0,844.0,785.0
mmu-let-7b-5p,23479.0,19559.0,13924.0,40197.0,54801.0,58068.0
mmu-let-7c-1-3p,11.0,10.0,0.0,3.0,13.0,8.0
mmu-let-7c-5p,79417.0,60642.0,46252.0,157558.0,203035.0,226476.0
mmu-let-7d-3p,2572.0,2255.0,1142.0,1781.0,2833.0,2171.0
mmu-let-7d-5p,6948.0,5311.0,4223.0,19601.0,26700.0,27719.0
mmu-let-7e-3p,134.0,103.0,32.0,47.0,100.0,79.0
mmu-let-7e-5p/7k,4895.0,3427.0,2742.0,5954.0,10222.0,8669.0
mmu-let-7f-1-3p,0.0,0.0,0.0,0.0,92.0,109.0
mmu-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-let-7f-5p,159718.0,109494.0,115174.0,237334.0,333838.0,325136.0
mmu-let-7g-3p,81.0,94.0,29.0,28.0,32.0,41.0
mmu-let-7g-5p,28259.0,20843.0,17124.0,28579.0,38751.0,39538.0
mmu-let-7i-3p,47.0,166.0,66.0,38.0,71.0,88.0
mmu-let-7i-5p,65879.0,52008.0,41215.0,77651.0,117789.0,102428.0
mmu-let-7j,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-100-3p,15.0,6.0,3.0,7.0,10.0,6.0
mmu-miR-100-5p,7059.0,7431.0,2463.0,12853.0,12985.0,16952.0
mmu-miR-101a-3p/101b-3p/101c,41253.0,64567.0,34137.0,29774.0,30393.0,41986.0
mmu-miR-101a-5p,84.0,96.0,19.0,95.0,94.0,184.0
mmu-miR-101b-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-103-1-5p/103-2-5p,5.0,4.0,2.0,0.0,9.0,10.0
mmu-miR-103-3p/107-3p,19773.0,17062.0,10215.0,12739.0,14354.0,17718.0
mmu-miR-105,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-106a-5p,12.0,8.0,0.0,0.0,16.0,10.0
mmu-miR-106b-3p,393.0,243.0,170.0,411.0,454.0,532.0
mmu-miR-106b-5p,700.0,744.0,299.0,481.0,570.0,735.0
mmu-miR-107-5p,3.0,6.0,0.0,2.0,0.0,0.0
mmu-miR-10a-3p,494.0,430.0,137.0,412.0,477.0,625.0
mmu-miR-10a-5p,2031829.0,1921170.0,995806.0,3272116.0,3433750.0,4534059.0
mmu-miR-10b-3p,6.0,20.0,4.0,15.0,13.0,19.0
mmu-miR-10b-5p,83890.0,171525.0,59815.0,74889.0,67203.0,111188.0
mmu-miR-1187,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1188-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1188-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1190,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1191a,0.0,0.0,0.0,0.0,18.0,21.0
mmu-miR-1191b-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1191b-5p,12.0,24.0,16.0,35.0,24.0,35.0
mmu-miR-1192,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1193-3p,0.0,0.0,0.0,0.0,0.0,4.0
mmu-miR-1193-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1194,0.0,0.0,0.0,0.0,0.0,5.0
mmu-miR-1195,0.0,0.0,0.0,20.0,0.0,0.0
mmu-miR-1197-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1197-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1198-3p,3.0,4.0,0.0,11.0,6.0,16.0
mmu-miR-1198-5p,286.0,241.0,114.0,306.0,419.0,422.0
mmu-miR-1199-3p,5.0,6.0,0.0,8.0,8.0,10.0
mmu-miR-1199-5p,0.0,11.0,18.0,24.0,46.0,51.0
mmu-miR-12178-3p,0.0,0.0,0.0,10.0,13.0,14.0
mmu-miR-12178-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12179-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12180-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12181-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12181-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12182-3p,0.0,0.0,0.0,4.0,0.0,0.0
mmu-miR-12182-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12183-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12184-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12184-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12185-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12185-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12186-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12186-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12187-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12187-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12188-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12188-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12189-3p,0.0,0.0,0.0,0.0,0.0,3.0
mmu-miR-12190-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12191-3p,9.0,0.0,0.0,17.0,11.0,5.0
mmu-miR-12191-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12192-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12193-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12193-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12194-3p,0.0,0.0,0.0,5.0,0.0,0.0
mmu-miR-12195-3p,8.0,0.0,0.0,0.0,8.0,12.0
mmu-miR-12195-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12196-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12196-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12197-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12198-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12199-3p,18.0,14.0,8.0,18.0,32.0,21.0
mmu-miR-122-3p,0.0,0.0,0.0,0.0,4.0,2.0
mmu-miR-122-5p,22.0,54.0,36.0,137.0,403.0,250.0
mmu-miR-12200-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12200-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-12201-3p,0.0,0.0,0.0,6.0,10.0,0.0
