;Lung_F1;Lung_F2;Lung_F3;Lung_M1;Lung_M2;Lung_M3
mmu-let-7g-5p;26411;19614;16184;26878;36120;37228
mmu-let-7g-3p;47;60;15;12;16;16
mmu-let-7i-5p;51701;41562;32331;66596;102963;88293
mmu-let-7i-3p;45;159;60;36;68;86
mmu-miR-1a-1-5p;0;0;0;1;0;2
mmu-miR-1a-3p;964;4459;2621;8723;1763;23914
mmu-miR-15b-5p;1804;1542;602;4021;4798;5193
mmu-miR-15b-3p;119;118;45;58;60;91
mmu-miR-23b-5p;1;1;2;5;3;8
mmu-miR-23b-3p;10709;8885;4067;16081;17745;20269
mmu-miR-27b-5p;124;79;56;109;179;137
mmu-miR-27b-3p;208372;198494;86138;316285;360445;405537
mmu-miR-29b-1-5p;2;1;2;2;1;2
mmu-miR-29b-3p;2240;2754;507;2420;2625;3331
mmu-miR-30a-5p;1226877;1183837;446093;1486727;1520309;2059087
mmu-miR-30a-3p;5348;10224;5231;6616;11223;8441
mmu-miR-30b-5p;31333;30643;10414;19233;25899;26087
mmu-miR-30b-3p;578;543;264;510;693;761
mmu-miR-99a-5p;9125;8347;2823;11921;11965;16072
mmu-miR-99a-3p;38;82;23;109;112;169
mmu-miR-99b-5p;68306;66405;17331;127606;128490;157815
mmu-miR-99b-3p;90;70;62;101;120;117
mmu-miR-101a-5p;83;97;18;94;93;181
mmu-miR-101a-3p;30197;55211;28354;24828;24843;34951
mmu-miR-124-3p;0;0;0;0;0;1
mmu-miR-125a-5p;85991;61938;29005;228757;257226;274289
mmu-miR-125a-3p;41;42;28;127;192;193
mmu-miR-125b-5p;7410;6113;2412;21815;24708;28838
mmu-miR-125b-2-3p;899;2190;1070;3376;3578;4433
mmu-miR-126a-5p;150989;89819;35430;28388;50614;32857
mmu-miR-126a-3p;61591;44201;16975;44683;58395;63654
mmu-miR-127-5p;7;24;8;19;4;18
mmu-miR-127-3p;3399;3408;935;2955;2511;4225
mmu-miR-128-1-5p;0;1;1;2;7;6
mmu-miR-128-3p;187;104;57;409;976;441
mmu-miR-130a-5p;4;3;0;5;4;12
mmu-miR-130a-3p;8309;8796;2462;13521;15637;17057
mmu-miR-9-5p;28;42;15;26;22;29
mmu-miR-9-3p;2;6;3;0;1;4
mmu-miR-132-5p;9;9;3;11;13;19
mmu-miR-132-3p;101;143;82;91;165;125
mmu-miR-133a-5p;0;0;0;1;0;0
mmu-miR-133a-3p;1124;5937;1155;11696;2203;28264
mmu-miR-134-5p;39;23;18;18;16;31
mmu-miR-135a-5p;6;12;1;4;5;9
mmu-miR-135a-1-3p;0;0;0;0;1;2
mmu-miR-136-5p;112;160;44;139;127;191
mmu-miR-136-3p;30;66;26;38;35;59
mmu-miR-137-3p;0;2;0;0;0;3
mmu-miR-138-5p;19;13;5;8;20;34
mmu-miR-138-2-3p;0;0;0;2;0;2
mmu-miR-140-5p;662;764;195;544;501;805
mmu-miR-140-3p;142;218;108;220;203;300
mmu-miR-141-5p;75;58;20;71;65;105
mmu-miR-141-3p;99299;93213;30349;155861;143053;213617
mmu-miR-142a-5p;16983;15118;2718;30504;31731;47939
mmu-miR-142a-3p;1772;1923;536;2795;2887;4172
mmu-miR-144-5p;2291;1354;1321;1167;1283;1396
mmu-miR-144-3p;1610;1236;351;2962;2877;3694
mmu-miR-145a-5p;11689;15945;4541;13347;12507;24527
mmu-miR-145a-3p;2691;2728;981;4107;5108;6302
mmu-miR-146a-5p;138300;82665;38778;231702;288409;301334
mmu-miR-146a-3p;2;1;1;3;3;3
mmu-miR-149-5p;53;95;23;156;119;280
mmu-miR-149-3p;3;1;0;2;1;5
mmu-miR-150-5p;3486;3045;855;9958;8734;14277
mmu-miR-150-3p;15;8;2;58;37;92
mmu-miR-151-5p;11515;8632;2887;34885;42558;46052
mmu-miR-151-3p;27939;18974;8078;38054;45543;48059
mmu-miR-152-5p;1406;1583;1026;624;708;729
mmu-miR-152-3p;1299;1191;543;881;1094;1403
mmu-miR-153-5p;24;8;5;6;11;17
mmu-miR-153-3p;352;382;98;353;447;511
mmu-miR-154-5p;1;7;1;9;6;5
mmu-miR-154-3p;2;0;0;1;2;2
mmu-miR-155-5p;523;529;241;641;537;716
mmu-miR-155-3p;0;1;0;0;1;0
mmu-miR-10b-5p;80852;166126;57904;73158;65355;108680
mmu-miR-10b-3p;2;6;3;9;3;8
mmu-miR-129-5p;1;1;0;2;3;4
mmu-miR-129-1-3p;0;3;0;0;0;2
mmu-miR-181a-5p;433239;269237;227204;588843;684621;751167
mmu-miR-181a-2-3p;300;276;236;451;454;649
mmu-miR-182-5p;40673;35542;26265;32308;39745;42258
mmu-miR-182-3p;0;0;0;0;2;4
mmu-miR-183-5p;12180;11647;2245;7963;8677;9805
mmu-miR-183-3p;2;5;0;8;12;10
mmu-miR-184-3p;31;89;40;89;99;102
mmu-miR-185-5p;176;122;61;328;465;483
mmu-miR-185-3p;0;0;3;7;14;10
mmu-miR-186-5p;43211;31351;10168;34020;39579;43904
mmu-miR-186-3p;1;3;0;1;2;1
mmu-miR-187-5p;7;13;3;23;28;21
mmu-miR-187-3p;90;91;37;78;87;146
mmu-miR-188-5p;8;9;5;9;2;8
mmu-miR-188-3p;11;14;2;21;29;31
mmu-miR-24-1-5p;151;174;80;246;223;325
mmu-miR-24-3p;65359;66238;34884;133256;111040;191979
mmu-miR-190a-5p;138;172;87;61;67;91
mmu-miR-190a-3p;10;19;3;7;12;4
mmu-miR-191-5p;145766;99287;34081;183101;228425;216321
mmu-miR-191-3p;17;12;6;25;42;45
mmu-miR-193a-5p;5;9;5;28;27;24
mmu-miR-193a-3p;53;259;30;89;95;135
mmu-miR-194-5p;533;480;158;697;743;985
mmu-miR-194-1-3p;0;1;0;0;0;0
mmu-miR-195a-5p;11387;10306;3532;18122;19480;23592
mmu-miR-195a-3p;111;99;70;88;149;112
mmu-miR-199a-5p;4876;4727;1632;6255;6261;8249
mmu-miR-199a-3p;38807;28109;9765;30263;31914;42088
mmu-miR-200b-5p;59;63;24;92;145;125
mmu-miR-200b-3p;2471;3110;1211;1053;1157;1580
mmu-miR-201-5p;10;7;1;3;5;8
mmu-miR-201-3p;0;2;0;0;0;0
mmu-miR-202-3p;1;0;0;0;0;0
mmu-miR-203-5p;2;10;5;8;7;11
mmu-miR-203-3p;2241;1878;919;1215;1215;1835
mmu-miR-204-5p;178;171;44;93;187;212
mmu-miR-204-3p;0;0;0;0;0;1
mmu-miR-205-5p;73;162;54;97;87;362
mmu-miR-205-3p;1;3;0;1;0;11
mmu-miR-206-5p;0;1;0;0;0;1
mmu-miR-206-3p;1;1;1;1;0;3
mmu-miR-207;3;0;1;1;4;2
mmu-miR-122-5p;16;46;32;130;384;228
mmu-miR-122-3p;0;1;2;0;3;2
mmu-miR-143-5p;39;88;56;80;114;147
mmu-miR-143-3p;328580;948758;607154;1363070;1332572;2053983
mmu-miR-30e-5p;12787;12347;4255;19020;18507;26633
mmu-miR-30e-3p;2056;2467;1382;1565;2731;1960
mmu-miR-291a-3p;1;0;0;1;0;3
mmu-miR-292a-5p;0;3;1;0;0;0
mmu-miR-292a-3p;0;2;0;2;3;2
mmu-miR-293-5p;1;1;1;0;1;2
mmu-miR-293-3p;0;0;0;1;0;5
mmu-miR-294-5p;0;0;0;0;0;1
mmu-miR-295-5p;0;2;0;0;0;0
mmu-miR-295-3p;1;5;2;2;7;4
mmu-miR-296-5p;7;8;6;4;5;12
mmu-miR-296-3p;0;1;1;5;6;3
mmu-miR-297a-5p;2;2;0;1;9;7
mmu-miR-298-5p;15;19;10;52;50;69
mmu-miR-298-3p;1;0;0;0;0;0
mmu-miR-299a-5p;8;15;5;2;4;7
mmu-miR-299a-3p;4;12;5;4;4;10
mmu-miR-300-5p;2;0;0;0;0;0
mmu-miR-300-3p;72;112;35;100;88;141
mmu-miR-301a-5p;4;6;2;8;7;11
mmu-miR-301a-3p;5056;4465;1207;1924;2176;2613
mmu-miR-302a-5p;0;0;0;0;0;1
mmu-miR-302a-3p;0;2;0;0;0;0
mmu-miR-34c-5p;63731;53920;22738;54806;51215;83560
mmu-miR-34c-3p;477;432;263;805;925;1409
mmu-miR-34b-5p;2452;3248;873;1530;1281;2604
mmu-miR-34b-3p;1239;1113;588;3167;3911;4205
mmu-let-7d-5p;7381;5494;4503;18397;25324;26021
mmu-let-7d-3p;2481;2179;1111;1734;2782;2131
mmu-miR-106a-5p;11;7;0;10;16;11
mmu-miR-106b-5p;403;407;136;340;407;536
mmu-miR-106b-3p;203;142;82;250;299;335
mmu-miR-130b-5p;10;16;4;63;75;68
mmu-miR-130b-3p;293;219;41;654;929;813
mmu-miR-19b-2-5p;1;0;0;1;0;0
mmu-miR-19b-3p;3874;4343;1448;1323;1530;2030
mmu-miR-30c-5p;91356;72291;28022;55013;73270;75181
mmu-miR-30c-1-3p;33;18;6;99;102;130
mmu-miR-30c-2-3p;351;560;384;607;985;796
mmu-miR-30d-5p;171508;153472;63347;301235;307773;401910
mmu-miR-30d-3p;1474;1128;490;1115;1229;1486
mmu-miR-148a-5p;853;1087;735;820;849;1109
mmu-miR-148a-3p;24152;56188;27518;26652;29476;37121
mmu-miR-192-5p;20638;18243;11397;12322;12428;16359
mmu-miR-192-3p;6;10;2;2;2;7
mmu-miR-196a-5p;0;0;2;1;1;1
mmu-miR-196a-2-3p;0;1;0;0;0;0
mmu-miR-200a-5p;164;144;94;111;132;163
mmu-miR-200a-3p;10722;11853;6750;8141;9488;11856
mmu-miR-208a-5p;0;5;0;11;1;19
mmu-miR-208a-3p;8;142;30;209;21;491
mmu-let-7a-5p;54051;41275;37148;76826;128602;108382
mmu-let-7a-1-3p;947;896;340;199;382;292
mmu-let-7a-2-3p;0;0;1;1;0;1
mmu-let-7b-5p;16455;13852;10231;31168;42100;45003
mmu-let-7b-3p;909;762;340;735;777;742
mmu-let-7c-5p;73287;56307;43321;150820;193464;217026
mmu-let-7c-1-3p;6;6;1;3;15;7
mmu-let-7c-2-3p;947;896;340;199;382;292
mmu-let-7e-5p;4300;2995;2470;5187;9109;7658
mmu-let-7e-3p;126;96;31;39;93;73
mmu-let-7f-5p;151783;104938;110294;228244;320443;312497
mmu-let-7f-1-3p;206;177;56;56;71;91
mmu-let-7f-2-3p;388;282;105;99;122;160
mmu-miR-15a-5p;1431;1493;444;2087;2293;3022
