miRNA	Lung_F1	Lung_F2	Lung_F3	Lung_M1	Lung_M2	Lung_M3
mmu-miR-30a-5p	2042665	1894711	839369	1839349	1924951	2537514
mmu-miR-30a-3p	6038	11782	5962	7340	12481	9369
mmu-miR-10a-5p	2029555	1919218	994813	3269918	3431423	4531068
mmu-miR-10a-3p	493	429	137	412	477	625
mmu-miR-27a-5p	48	55	44	82	110	110
mmu-miR-27a-3p	67176	59915	24888	85465	103189	110871
mmu-miR-27b-3p	168768	168040	73156	262729	292861	337098
mmu-miR-27b-5p	175	116	74	164	270	213
mmu-miR-143-5p	223	282	212	393	436	607
mmu-miR-143-3p	405223	1112088	708232	1454221	1426328	2193222
mmu-miR-26a-5p	968670	639714	283695	1856503	123875	2389792
mmu-miR-26a-1-3p	11	9	3	1	6	5
mmu-miR-26b-5p	106333	89994	48271	91712	90502	138314
mmu-miR-26b-3p	60	41	19	189	259	245
mmu-let-7f-5p	150921	38354	69317	64872	221800	165700
mmu-let-7f-2-3p	390	293	105	100	125	161
mmu-miR-451a	42064	35836	11812	25856	25222	33648
mmu-miR-16-5p	71975	71844	753	131551	2864	136532
mmu-miR-16-1-3p	76	81	53	75	74	101
mmu-miR-125a-5p	86841	62399	29351	232230	261231	278110
mmu-miR-125a-3p	44	51	29	137	197	196
mmu-miR-34c-5p	65487	55708	23391	55614	51978	84794
mmu-miR-34c-3p	540	496	286	859	992	1499
mmu-miR-30d-5p	432583	356940	178952	491518	524254	648179
mmu-miR-30d-3p	1541	1199	517	1155	1274	1526
mmu-miR-486a-5p	671592	389173	291381	484532	511798	568724
mmu-miR-486a-3p	78	39	41	69	112	95
mmu-miR-486b-5p	949	557	417	520	583	699
mmu-miR-151-5p	15349	11642	3756	42444	52046	55985
mmu-miR-151-3p	77476	56076	24002	96861	113621	121527
mmu-miR-126a-5p	159836	96034	37537	33244	59367	38829
mmu-miR-126a-3p	74764	53666	21134	53850	70404	76337
mmu-miR-153-5p	24	10	5	6	11	18
mmu-miR-153-3p	362	386	100	353	450	515
mmu-let-7c-5p	5048	59053	11891	133169	173317	218939
mmu-let-7c-2-3p	962	899	345	200	385	293
mmu-miR-181a-5p	430098	20290	218958	44075	638610	660807
mmu-miR-181a-1-3p	1524	1329	678	722	850	984
mmu-miR-330-5p	282	313	115	656	883	780
mmu-miR-330-3p	93	85	27	121	195	188
mmu-miR-146b-5p	439287	265747	196896	325462	314979	384066
mmu-miR-146b-3p	9	10	6	20	22	17
mmu-miR-141-5p	152	186	108	199	217	272
mmu-miR-141-3p	103886	97132	31636	160514	147787	219703
mmu-miR-146a-5p	229985	138464	63384	352655	436820	459275
mmu-miR-146a-3p	6	9	2	3	6	4
mmu-let-7i-5p	63350	50534	40033	75574	115242	99635
mmu-let-7i-3p	47	164	65	38	71	87
mmu-let-7b-5p	22998	19161	13645	39629	53961	57200
mmu-let-7b-3p	967	796	360	774	836	770
mmu-miR-99b-5p	90971	85865	23085	153022	154431	188883
mmu-miR-99b-3p	247	201	141	183	251	243
mmu-miR-181b-5p	5285	2622	4788	13309	19224	15807
mmu-miR-181b-1-3p	154	102	45	67	98	124
mmu-miR-191-5p	147140	100422	34401	185213	231383	218890
mmu-miR-191-3p	19	12	6	25	38	42
mmu-miR-181c-5p	56704	57749	28880	46675	54720	61841
mmu-miR-181c-3p	465	742	415	523	568	725
mmu-miR-21a-5p	130833	97813	55640	62207	74262	88072
mmu-miR-21a-3p	115	645	430	1113	1330	1686
mmu-miR-351-5p	26270	32120	24362	46787	57137	60027
mmu-miR-351-3p	11	17	10	44	64	64
mmu-miR-24-2-5p	4916	4156	1985	11357	13192	14767
mmu-miR-24-3p	3642	58336	28433	17623	68107	87218
mmu-miR-145a-5p	11974	16348	4687	13508	12698	24801
mmu-miR-145a-3p	3173	3308	1239	5268	6273	8113
mmu-miR-29a-5p	140	132	40	62	71	82
mmu-miR-29a-3p	25181	20652	5415	30309	33704	43095
mmu-miR-142a-5p	33714	23758	5512	49829	58522	72418
mmu-miR-142a-3p	2062	2334	657	3437	3516	5343
mmu-miR-10b-5p	83648	171222	59713	74732	67034	110935
mmu-miR-10b-3p	6	18	4	15	13	17
mmu-miR-125b-5p	5547	1508	2420	2781	15799	16978
mmu-miR-125b-2-3p	1480	3182	1528	4322	4577	5598
mmu-miR-22-5p	120	120	42	84	135	121
mmu-miR-22-3p	92857	93864	36996	177422	221564	236860
mmu-miR-199a-5p	1843	1300	1140	2062	440	4169
mmu-miR-199a-3p	41282	22171	8836	32120	18584	48723
mmu-miR-199b-5p	707	871	227	492	558	766
mmu-miR-199b-3p	43	52	16	34	50	40
mmu-miR-101a-5p	82	92	19	92	92	179
mmu-miR-101a-3p	41712	71619	37562	33061	33672	46905
mmu-let-7f-1-3p	241	217	71	72	89	106
mmu-miR-1a-3p	743	3379	567	3527	1086	17105
mmu-miR-1a-2-5p	0	1	0	0	0	0
mmu-let-7a-5p	44016	12499	2301	16164	30158	84601
