"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-let-7a-1-3p/7c-2-3p",557.891408749754,-2.03639740182643,0.250101934745,-8.14226968656884,3.87935961434939e-16,4.13050705897824e-14
"mmu-let-7a-5p",71120.9194569573,0.33758464819975,0.283313365131241,1.19155920527565,0.23343412888602,0.345184509735711
"mmu-let-7b-3p",746.63328895129,-0.549421709895555,0.219100504297946,-2.50762412280174,0.0121545884463686,0.0331272116479459
"mmu-let-7b-5p",31499.303172514,0.575558732274572,0.226247134164149,2.54393822224943,0.0109610468587041,0.0302699108614543
"mmu-let-7c-5p",113796.065864022,0.80070545914583,0.23281526271432,3.43923095853192,0.000583369311498255,0.00261575271929863
"mmu-let-7d-3p",2101.55870706507,-0.573875788382995,0.22529684820522,-2.54719847594255,0.0108591651669148,0.0302699108614543
"mmu-let-7d-5p",12827.2972461138,1.3031888867186,0.244289174095217,5.33461579517502,9.57470710663377e-08,1.24770401983321e-06
"mmu-let-7e-3p",80.0316200763942,-0.93770831542341,0.336218947178088,-2.78898117816878,0.00528741377901577,0.0167034208018907
"mmu-let-7e-5p/7k",5524.50759164359,0.315574651421596,0.264608482789148,1.19260973078123,0.23302225311521,0.345184509735711
"mmu-let-7f-5p",200617.044282879,0.301539268870514,0.29688649472465,1.01567189558481,0.309785655600374,0.423543011099527
"mmu-let-7g-3p",53.3068039037691,-1.73653524245956,0.326582287325996,-5.31729769142729,1.05319681610838e-07,1.29171491857998e-06
"mmu-let-7g-5p",28092.5565346651,-0.17495547345816,0.249690718887304,-0.70068873299662,0.483497288972054,0.594744452806332
"mmu-let-7i-3p",85.7380720171792,-1.37990167468694,0.433871954877707,-3.18043528551155,0.00147053980199916,0.00573098221900605
"mmu-let-7i-5p",72725.559368701,0.0427672121258871,0.258038896866008,0.165739400707851,0.868362037569063,0.934074625695702
"mmu-miR-100-3p",7.58990680169899,-0.735984234032052,0.724275044285003,-1.01616677233247,0.309549976452268,0.423543011099527
"mmu-miR-100-5p",8699.16055214411,0.63507392768276,0.19997601238772,3.17575053177607,0.0014944941135334,0.00577040782725395
"mmu-miR-101a-3p/101b-3p/101c",43792.7457499091,-1.31105274811893,0.259883210283383,-5.04477663904999,4.5405146467482e-07,4.85485796844615e-06
"mmu-miR-101a-5p",82.7914054604893,0.214958520446112,0.343349505127417,0.626063288969474,0.531273430184679,0.644014594148289
"mmu-miR-103-3p/107-3p",15697.5941811168,-0.880128094051375,0.191640424961128,-4.59260145258965,4.37754580298769e-06,3.51045499970359e-05
"mmu-miR-106b-3p",345.754638134149,0.00789657956035906,0.241219922307727,0.0327360173438963,0.973885101587106,0.983317402813131
"mmu-miR-106b-5p",579.17336021024,-0.71907280719242,0.187782777420666,-3.82927985766006,0.00012851879038777,0.000705162310417106
"mmu-miR-10a-3p",394.756290280662,-0.180246298989277,0.228949950571184,-0.787273806085559,0.431121599903607,0.548102765731111
"mmu-miR-10a-5p",2439499.95174593,0.39551962134934,0.177909958133647,2.22314492959536,0.0262060288524793,0.0624452230370506
"mmu-miR-10b-3p",11.8367019470546,-0.0766514175661317,0.620041590163267,-0.123623025910162,0.901613760294418,0.951830222893094
"mmu-miR-10b-5p",97810.921922619,-1.10382817307204,0.28576977186734,-3.86264847348675,0.000112164352622719,0.000640719658132517
"mmu-miR-1191b-5p",24.172052615291,0.00219510859296243,0.488479793169126,0.00449375516379326,0.996414514202237,0.996414514202237
"mmu-miR-1198-5p",274.728304324242,0.0891677686753438,0.21224649580836,0.420114208885948,0.674402023211845,0.772597922195987
"mmu-miR-12199-3p",17.3502995426704,0.0711312324636596,0.496532363392847,0.14325598431815,0.886088016633081,0.940200261923651
"mmu-miR-122-5p",123.605503942359,1.88669437666225,0.446420202423581,4.22627463188165,2.37591995682892e-05,0.000152424403384255
"mmu-miR-1249-3p",463.200187749172,0.485847200096295,0.207435616528754,2.34215901891153,0.0191725441506114,0.0475889935166963
"mmu-miR-125a-3p",96.244931925586,1.24906640719733,0.282751490357843,4.41754137393423,9.98299654838164e-06,7.56892647395481e-05
"mmu-miR-125a-5p",132683.571946349,1.39563780592671,0.200707297330403,6.95359772409877,3.56086079434191e-12,1.34988995567325e-10
"mmu-miR-125b-1-3p",487.925081936687,1.13740736469714,0.236335271396416,4.81268563078475,1.48915442195247e-06,1.44413347431205e-05
"mmu-miR-125b-2-3p",3219.21438186713,0.362203190301149,0.302926277537957,1.19568098629464,0.231821073981061,0.345184509735711
"mmu-miR-125b-5p",15937.7920259745,1.50715478111047,0.186910993072425,8.06348923803786,7.41470599602965e-16,6.18386480068873e-14
"mmu-miR-1264-3p",107.603502085101,-0.181627786333081,0.303126192888587,-0.5991820917958,0.549051463485447,0.656029972130176
"mmu-miR-1264-5p",6.33659369428895,-0.320971043096942,0.776703736862016,-0.413247713206205,0.679425133886352,0.77621994748112
"mmu-miR-126a-3p",56342.7022382414,-0.267856924543284,0.214546127196992,-1.24848175095393,0.211854687328713,0.322380456200273
"mmu-miR-126a-5p",74260.7467562895,-1.80204124816067,0.297227451636663,-6.06283584587442,1.33742149410463e-09,2.53502165018923e-08
"mmu-miR-127-3p",3493.72397822254,-0.484147237778224,0.245813112172067,-1.9695745011329,0.0488871563975922,0.100920515929683
"mmu-miR-127-5p",18.9396746860856,-0.947916604554971,0.585615373652507,-1.61866755417088,0.105518811517515,0.189660967253464
"mmu-miR-128-1-5p",20.0328919499227,-0.464283976509959,0.484815445497617,-0.957650959394282,0.338238793426583,0.447763736059952
"mmu-miR-128-3p",408.925812543055,1.3331238773989,0.349520351975741,3.81415236584399,0.000136651143925371,0.000730558038677942
