"","Lung_F1","Lung_F2","Lung_F3","Lung_M1","Lung_M2","Lung_M3"
"mmu-miR-30a-5p",17.5086358126679,17.4124887530529,17.3239043043624,17.1620987257514,17.0377633103842,17.1880994849671
"mmu-miR-30a-3p",9.10691206786839,10.083463283549,10.1867477135736,9.19331550843322,9.76909748662987,9.10723646468741
"mmu-miR-10a-5p",17.4993466386664,17.4310295176251,17.5690242500257,17.9921572094416,17.8717477714573,18.0245341245037
"mmu-miR-10a-3p",5.49748214571453,5.30995446657141,4.75209543378655,5.04526110239281,5.06653499209901,5.20746157151667
"mmu-miR-27a-5p",2.1863469850277,2.38781433544344,3.13255507368902,2.74582237390801,2.97420076539349,2.73177641926514
"mmu-miR-27a-3p",12.5823114725119,12.4296149251089,12.2481701207645,12.7344152427203,12.8163347773379,12.6716735182087
"mmu-miR-27b-3p",13.91131104509,13.917401945992,13.8036628377438,14.3545608497124,14.3212397090482,14.2759343690584
"mmu-miR-27b-5p",4.01305550278011,3.43964517022054,3.87122424609476,3.72747202020175,4.25109082315694,3.6672080835701
"mmu-miR-143-5p",4.35947940599217,4.70788282796492,5.37876884073884,4.97750419243906,4.93756014715116,5.16549820820738
"mmu-miR-143-3p",15.1749764613206,16.6437828823851,17.0788214289675,16.8231504575992,16.6052480074805,16.9777358105088
"mmu-miR-26a-5p",16.4322618144673,15.8460126545701,15.7589427668725,17.1754911126583,13.0799249843466,17.1015688602743
"mmu-miR-26a-1-3p",0.231132305060262,-0.00256318292019073,-0.403652898410835,-2.00409910438781,-0.763812127399754,-1.10844964931575
"mmu-miR-26b-5p",13.2448683867534,13.0165116897567,13.2038521772996,12.8361895901723,12.627071924454,12.9907312154209
"mmu-miR-26b-3p",2.49748593203669,1.9798789128665,1.95729338750054,3.92971757126158,4.19162901437345,3.86661922778146
"mmu-let-7f-5p",13.7500651057435,11.786099664283,13.7258968079871,12.3366888331409,13.9202868193343,13.2513526589649
"mmu-let-7f-2-3p",5.16079798001314,4.7627368874956,4.37107270025629,3.02554728818657,3.15488499969276,3.26962108321441
"mmu-miR-451a",11.9069754392945,11.6881370980156,11.1730287453826,11.0096633774361,10.7839050100396,10.9514701646179
"mmu-miR-16-5p",12.6818588040157,12.6915580051343,7.20312426584817,13.3566192552722,7.64640842833485,12.9720235414218
"mmu-miR-16-1-3p",2.82937424771049,2.93122318334612,3.39629954827509,2.62048875771097,2.41735937528832,2.61190590440916
"mmu-miR-125a-5p",12.9527328863874,12.4882188350914,12.4861218322309,14.176541284364,14.1563511822766,13.9984245372928
"mmu-miR-125a-3p",2.0656937142402,2.28254117818118,2.54546026740079,3.47158710619917,3.8010795826462,3.54887744536114
"mmu-miR-34c-5p",12.5455751503321,12.324585562021,12.1586765792198,12.1145488936197,11.8270520325833,12.2848370809984
"mmu-miR-34c-3p",5.62838254036473,5.51848373186908,5.80919772437779,6.10141468949056,6.11909114303444,6.46566859225361
"mmu-miR-30d-5p",15.2692369510931,15.0042704721181,15.0941772926148,15.2582242113163,15.1612843147856,15.2191526633888
"mmu-miR-30d-3p",7.13800225551198,6.78877102672077,6.66139628366961,6.5276641727922,6.47926518002761,6.49137419927229
"mmu-miR-486a-5p",15.9038428214357,15.128999893984,15.7975087335951,15.2375719993451,15.1265930229233,15.0304899659477
"mmu-miR-486a-3p",2.86596621478668,1.91090581449391,3.03271497794131,2.50364935325861,2.99963998995985,2.52607511358423
"mmu-miR-486b-5p",6.43969838972906,5.68523638602394,6.35185879801094,5.37958893170261,5.35471376116359,5.368196788655
"mmu-miR-151-5p",10.4526449224577,10.0662204593582,9.52027166488188,11.7246785292193,11.8289381108243,11.685940461961
"mmu-miR-151-3p",12.7881097480527,12.3340841700679,12.1958763023265,12.9149931947408,12.9552719821323,12.8040650519121
"mmu-miR-126a-5p",13.8328629352165,13.1102262843561,12.8410162294477,11.3722318879107,12.0188037407028,11.1580674793405
"mmu-miR-126a-3p",12.7367052892331,12.2707112152921,12.0122946023053,12.0680489396413,12.2647906863588,12.1332628187167
"mmu-miR-153-5p",1.23911462901789,0.124723997604747,0.197695614471213,-0.626025262103724,-0.0916907651422758,0.297254344249381
"mmu-miR-153-3p",5.05384237000437,5.15826443815608,4.30127431771001,4.82352262266824,4.98290864913066,4.92959120016915
