DB	Name	ID	Count
circRNA	mmu_circ_0004112	ENSMUST00000066296	15
circRNA	mmu_circ_0005443	ENSMUST00000072013	6
circRNA	mmu_circ_0006775	ENSMUST00000050630	2
circRNA	mmu_circ_0004113	ENSMUST00000171824	41
circRNA	mmu_circ_0005444	ENSMUST00000072013	4
circRNA	mmu_circ_0006774	ENSMUST00000050630	5
circRNA	mmu_circ_0004114	ENSMUST00000171824	16
circRNA	mmu_circ_0005445	ENSMUST00000072013	39
circRNA	mmu_circ_0006777	ENSMUST00000024739	3
circRNA	mmu_circ_0004115	ENSMUST00000066296	19
circRNA	mmu_circ_0005446	ENSMUST00000072013	2
circRNA	mmu_circ_0006776	ENSMUST00000024742	1
circRNA	mmu_circ_0004116	ENSMUST00000066296	22
circRNA	mmu_circ_0005447	ENSMUST00000072013	3
circRNA	mmu_circ_0006779	ENSMUST00000113523	4
circRNA	mmu_circ_0004117	ENSMUST00000066296	6
circRNA	mmu_circ_0005448	ENSMUST00000072013	6
circRNA	mmu_circ_0006778	ENSMUST00000156224	1
circRNA	mmu_circ_0004118	ENSMUST00000066296	10
circRNA	mmu_circ_0005449	ENSMUST00000022593	7
circRNA	mmu_circ_0004119	ENSMUST00000021332	6
circRNA	mmu_circ_0006771	ENSMUST00000024705	13
circRNA	mmu_circ_0005440	ENSMUST00000134109	8
circRNA	mmu_circ_0006770	ENSMUST00000024705	14
circRNA	mmu_circ_0004123	ENSMUST00000058889	2
circRNA	mmu_circ_0005454	ENSMUST00000040990	42
circRNA	mmu_circ_0006786	ENSMUST00000113479	41
circRNA	mmu_circ_0004124	ENSMUST00000140391	1
circRNA	mmu_circ_0005455	ENSMUST00000040990	3
circRNA	mmu_circ_0004125	ENSMUST00000037181	3
circRNA	mmu_circ_0005456	ENSMUST00000040990	20
circRNA	mmu_circ_0006788	ENSMUST00000066026	1
circRNA	mmu_circ_0004126	ENSMUST00000101379	3
circRNA	mmu_circ_0005457	ENSMUST00000040990	20
circRNA	mmu_circ_0004127	ENSMUST00000037181	3
circRNA	mmu_circ_0005458	ENSMUST00000040990	34
circRNA	mmu_circ_0005459	ENSMUST00000040990	22
circRNA	mmu_circ_0004129	ENSMUST00000037181	5
circRNA	mmu_circ_0016108	ENSMUST00000128115	1
circRNA	mmu_circ_0016105	ENSMUST00000149154	6
circRNA	mmu_circ_0016104	ENSMUST00000149154	2
circRNA	mmu_circ_0016103	ENSMUST00000000804	59
circRNA	mmu_circ_0016102	ENSMUST00000089302	37
circRNA	mmu_circ_0016101	ENSMUST00000089302	14
circRNA	mmu_circ_0016100	ENSMUST00000089302	1
circRNA	mmu_circ_0006780	ENSMUST00000164714	34
circRNA	mmu_circ_0006782	ENSMUST00000024749	4
circRNA	mmu_circ_0004120	ENSMUST00000058889	8
circRNA	mmu_circ_0005451	ENSMUST00000074729	63
circRNA	mmu_circ_0006781	ENSMUST00000024749	1
circRNA	mmu_circ_0004121	ENSMUST00000058889	2
circRNA	mmu_circ_0005452	ENSMUST00000074729	7
circRNA	mmu_circ_0006784	ENSMUST00000087031	3
circRNA	mmu_circ_0004122	ENSMUST00000058889	5
circRNA	mmu_circ_0005453	None	1
circRNA	mmu_circ_0006783	ENSMUST00000087031	8
circRNA	mmu_circ_0004134	ENSMUST00000021359	2
circRNA	mmu_circ_0005465	ENSMUST00000022601	4
circRNA	mmu_circ_0006797	ENSMUST00000040624	21
circRNA	mmu_circ_0004135	ENSMUST00000063445	1
circRNA	mmu_circ_0005466	ENSMUST00000040131	9
circRNA	mmu_circ_0006796	ENSMUST00000040624	21
circRNA	mmu_circ_0004136	ENSMUST00000021362	23
circRNA	mmu_circ_0005467	ENSMUST00000040131	3
circRNA	mmu_circ_0005468	ENSMUST00000054908	9
circRNA	mmu_circ_0006798	ENSMUST00000040624	113
circRNA	mmu_circ_0004139	ENSMUST00000021368	3
circRNA	mmu_circ_0016113	ENSMUST00000124226	4
circRNA	mmu_circ_0016112	ENSMUST00000116623	49
