
#File:/home/tfm20212-01/Software/COMPSRA/Lung_F1.fastq
#20821100 reads are processed.
#20781090 reads are trimed with 3'adapter.
#337 reads are removed because of low quality (<20).
#0 reads are trimed from 5'end with 0 bases.
#0 reads are trimed from 3'end with 0 bases.
#583428 reads are trimed from 5'end bacause of low quality.
#520808 reads are trimed from 3'end bacause of low quality.
#337 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_F1/Lung_F1_LowQualityRead.fastq.gz
#41550 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_F1/Lung_F1_0to15_FitRead.fastq.gz
#20779213 reads are saved int the file: /home/tfm20212-01/Results/COMPSRA/Lung_F1/Lung_F1_15to75_FitRead.fastq.gz
#The length distribution of the trimed reads is listed:
#Length	Count	Percentage
0	18	0.00%
1	329	0.00%
2	119	0.00%
3	116	0.00%
4	177	0.00%
5	371	0.00%
6	924	0.00%
7	1450	0.01%
8	2354	0.01%
9	3635	0.02%
10	4887	0.02%
11	5638	0.03%
12	6067	0.03%
13	7818	0.04%
14	7665	0.04%
15	8709	0.04%
16	12369	0.06%
17	15606	0.07%
18	33359	0.16%
19	115833	0.56%
20	1616265	7.76%
21	1285574	6.17%
22	3686850	17.71%
23	2459746	11.81%
24	1932845	9.28%
25	276105	1.33%
26	197032	0.95%
27	213691	1.03%
28	282770	1.36%
29	296769	1.43%
30	969536	4.66%
31	576669	2.77%
32	1092954	5.25%
33	436478	2.10%
34	722220	3.47%
35	450647	2.16%
36	476368	2.29%
37	332235	1.60%
38	326046	1.57%
39	377822	1.81%
40	527982	2.54%
41	560551	2.69%
42	337516	1.62%
43	199495	0.96%
44	134973	0.65%
45	114480	0.55%
46	125832	0.60%
47	65073	0.31%
48	44829	0.22%
49	39414	0.19%
50	29480	0.14%
51	16974	0.08%
52	50831	0.24%
53	10459	0.05%
54	5524	0.03%
55	3483	0.02%
56	2798	0.01%
57	1692	0.01%
58	2618	0.01%
59	1255	0.01%
60	2253	0.01%
61	16339	0.08%
62	11811	0.06%
63	5460	0.03%
64	2120	0.01%
65	4725	0.02%
66	4076	0.02%
67	2603	0.01%
68	3032	0.01%
69	5300	0.03%
70	14607	0.07%
71	22569	0.11%
72	46013	0.22%
73	73203	0.35%
74	67255	0.32%
75	28409	0.14%
