DB	Name	ID	Count
miRBase	mmu-miR-1843a-3p	-	28
miRBase	mmu-miR-215-5p	-	70
miRBase	mmu-miR-133c	-	1
miRBase	mmu-miR-21a-3p	-	597
miRBase	mmu-miR-7050-3p	-	1
miRBase	mmu-miR-669c-5p	-	22
miRBase	mmu-miR-6996-5p	-	4
miRBase	mmu-miR-296-5p	-	9
miRBase	mmu-miR-467b-5p	-	3
miRBase	mmu-miR-3535	-	39932
miRBase	mmu-miR-194-1-3p	-	1
miRBase	mmu-miR-330-5p	-	306
miRBase	mmu-miR-342-5p	-	14
miRBase	mmu-miR-147-3p	-	9
miRBase	mmu-miR-3110-5p	-	2
miRBase	mmu-miR-92a-3p	-	99023
miRBase	mmu-miR-29b-3p	-	2777
miRBase	mmu-miR-3066-3p	-	1
miRBase	mmu-mir-17	-	37
miRBase	mmu-mir-872	-	16
miRBase	mmu-mir-874	-	1
miRBase	mmu-mir-92a-2	-	93
miRBase	mmu-mir-692-3	-	3
miRBase	mmu-mir-877	-	25
miRBase	mmu-miR-182-5p	-	36849
miRBase	mmu-mir-879	-	50
miRBase	mmu-mir-692-2	-	3
miRBase	mmu-mir-92a-1	-	3790
miRBase	mmu-miR-708-3p	-	172
miRBase	mmu-miR-7015-3p	-	8
miRBase	mmu-miR-1843a-5p	-	776
miRBase	mmu-miR-6939-3p	-	1
miRBase	mmu-miR-21a-5p	-	95397
miRBase	mmu-miR-466b-3p	-	8
miRBase	mmu-miR-3547-3p	-	1
miRBase	mmu-miR-7049-3p	-	2
miRBase	mmu-miR-330-3p	-	38
miRBase	mmu-miR-3088-3p	-	4
miRBase	mmu-miR-329-5p	-	34
miRBase	mmu-miR-99b-3p	-	232
miRBase	mmu-mir-409	-	4
miRBase	mmu-miR-146b-5p	-	255506
miRBase	mmu-miR-3076-5p	-	1
miRBase	mmu-miR-29b-2-5p	-	34
miRBase	mmu-miR-1298-3p	-	46
miRBase	mmu-miR-147-5p	-	27
miRBase	mmu-miR-6984-3p	-	1
miRBase	mmu-miR-130a-5p	-	1
miRBase	mmu-miR-434-3p	-	172
miRBase	mmu-mir-652	-	7
miRBase	mmu-mir-653	-	114
miRBase	mmu-mir-411	-	26
miRBase	mmu-miR-30a-5p	-	1847378
miRBase	mmu-miR-199b-3p	-	30560
miRBase	mmu-miR-205-3p	-	2
miRBase	mmu-miR-708-5p	-	122
miRBase	mmu-miR-7015-5p	-	1
miRBase	mmu-miR-497a-3p	-	61
miRBase	mmu-miR-6937-3p	-	2
miRBase	mmu-miR-6960-5p	-	3
miRBase	mmu-miR-7655-5p	-	6
miRBase	mmu-miR-3064-3p	-	1
miRBase	mmu-miR-1264-3p	-	74
miRBase	mmu-let-7d-5p	-	5326
miRBase	mmu-mir-1894	-	1
miRBase	mmu-mir-421	-	12
miRBase	mmu-miR-500-5p	-	3
miRBase	mmu-mir-664	-	26
miRBase	mmu-miR-99b-5p	-	86823
miRBase	mmu-miR-6925-5p	-	1
miRBase	mmu-mir-423	-	58
miRBase	mmu-mir-425	-	58
miRBase	mmu-mir-668	-	2
miRBase	mmu-miR-467d-3p	-	6
miRBase	mmu-mir-429	-	24
miRBase	mmu-miR-3076-3p	-	3
miRBase	mmu-mir-297b	-	4
miRBase	mmu-mir-297c	-	3
miRBase	mmu-miR-146b-3p	-	10
miRBase	mmu-miR-130a-3p	-	10310
miRBase	mmu-miR-7117-3p	-	1
miRBase	mmu-miR-434-5p	-	137
miRBase	mmu-miR-491-3p	-	5
miRBase	mmu-miR-7074-3p	-	1
miRBase	mmu-miR-3064-5p	-	1
miRBase	mmu-mir-671	-	9
miRBase	mmu-mir-673	-	1
miRBase	mmu-mir-431	-	5
miRBase	mmu-miR-30c-5p	-	73984
miRBase	mmu-mir-674	-	10
miRBase	mmu-miR-673-5p	-	53
miRBase	mmu-mir-365-1	-	16
miRBase	mmu-mir-676	-	7
miRBase	mmu-mir-434	-	25
miRBase	mmu-mir-677	-	29
miRBase	mmu-miR-6972-3p	-	2
miRBase	mmu-miR-497a-5p	-	1981
miRBase	mmu-mir-679	-	1
miRBase	mmu-mir-365-2	-	16
miRBase	mmu-miR-184-3p	-	148
miRBase	mmu-miR-203-3p	-	2914
miRBase	mmu-miR-320-3p	-	1690
miRBase	mmu-miR-669p-5p	-	25
miRBase	mmu-miR-150-3p	-	23
miRBase	mmu-miR-3552	-	3
miRBase	mmu-miR-669a-5p	-	25
miRBase	mmu-miR-194-5p	-	519
miRBase	mmu-miR-412-5p	-	1
miRBase	mmu-let-7d-3p	-	2228
miRBase	mmu-mir-682	-	1
miRBase	mmu-miR-378b	-	61
miRBase	mmu-miR-3086-5p	-	53
miRBase	mmu-miR-378d	-	29
miRBase	mmu-mir-203	-	989
miRBase	mmu-miR-378c	-	300
miRBase	mmu-mir-205	-	2
miRBase	mmu-mir-448	-	1
miRBase	mmu-mir-299a	-	8
miRBase	mmu-miR-467d-5p	-	3
miRBase	mmu-miR-298-5p	-	20
miRBase	mmu-mir-142a	-	9190
miRBase	mmu-mir-20a	-	10
miRBase	mmu-mir-20b	-	1
miRBase	mmu-miR-491-5p	-	7
miRBase	mmu-mir-199a-2	-	4451
miRBase	mmu-mir-199a-1	-	4440
miRBase	mmu-miR-496a-3p	-	7
miRBase	mmu-miR-342-3p	-	2539
miRBase	mmu-mir-210	-	11
miRBase	mmu-mir-452	-	19
miRBase	mmu-mir-212	-	1
miRBase	mmu-mir-455	-	18
miRBase	mmu-mir-214	-	168
miRBase	mmu-mir-215	-	2
miRBase	mmu-miR-673-3p	-	6
miRBase	mmu-miR-203-5p	-	6
miRBase	mmu-miR-3074-1-3p	-	15
miRBase	mmu-miR-127-3p	-	4434
miRBase	mmu-mir-1a-2	-	62
miRBase	mmu-miR-150-5p	-	3781
miRBase	mmu-mir-21a	-	1959
miRBase	mmu-miR-24-3p	-	73833
miRBase	mmu-miR-19b-3p	-	4386
miRBase	mmu-mir-1a-1	-	62
miRBase	mmu-miR-1964-3p	-	50
miRBase	mmu-miR-208b-3p	-	433
miRBase	mmu-miR-362-5p	-	70
miRBase	mmu-miR-466d-3p	-	6
miRBase	mmu-miR-27b-3p	-	207031
miRBase	mmu-miR-669a-3p	-	35
miRBase	mmu-mir-221	-	7
miRBase	mmu-mir-133a-2	-	3663
miRBase	mmu-mir-222	-	107
miRBase	mmu-miR-3091-5p	-	1
miRBase	mmu-mir-223	-	16
miRBase	mmu-mir-6900	-	1
miRBase	mmu-mir-224	-	4
miRBase	mmu-mir-133a-1	-	3661
miRBase	mmu-mir-6906	-	1
miRBase	mmu-miR-190a-3p	-	16
miRBase	mmu-miR-149-5p	-	105
miRBase	mmu-mir-8097	-	1
miRBase	mmu-miR-504-5p	-	1
miRBase	mmu-mir-8093	-	1
miRBase	mmu-mir-98	-	6
miRBase	mmu-miR-3068-5p	-	234
miRBase	mmu-miR-3475-3p	-	1
miRBase	mmu-miR-340-3p	-	87
miRBase	mmu-miR-7115-5p	-	2
miRBase	mmu-miR-23a-5p	-	1
miRBase	mmu-miR-450a-1-3p	-	10
miRBase	mmu-mir-93	-	18
miRBase	mmu-miR-488-3p	-	3
miRBase	mmu-miR-677-5p	-	90
miRBase	mmu-mir-6911	-	1
miRBase	mmu-miR-3102-3p	-	187
miRBase	mmu-miR-6976-3p	-	3
miRBase	mmu-miR-7a-5p	-	953
miRBase	mmu-mir-496a	-	9
miRBase	mmu-miR-1983	-	4
miRBase	mmu-miR-376b-5p	-	42
miRBase	mmu-miR-201-5p	-	7
miRBase	mmu-mir-145a	-	562
miRBase	mmu-miR-872-3p	-	759
miRBase	mmu-miR-5099	-	5062
miRBase	mmu-mir-23a	-	126
miRBase	mmu-miR-127-5p	-	15
miRBase	mmu-mir-23b	-	1022
miRBase	mmu-miR-6964-3p	-	1
miRBase	mmu-miR-27b-5p	-	118
miRBase	mmu-mir-490	-	47
miRBase	mmu-miR-195b	-	2
miRBase	mmu-miR-8120	-	1
miRBase	mmu-mir-491	-	1
miRBase	mmu-miR-135b-5p	-	4
miRBase	mmu-miR-24-2-5p	-	4098
miRBase	mmu-miR-466d-5p	-	2
miRBase	mmu-miR-7007-3p	-	1
miRBase	mmu-miR-139-3p	-	5
miRBase	mmu-mir-483	-	1
miRBase	mmu-miR-3091-3p	-	1
miRBase	mmu-mir-484	-	37
miRBase	mmu-mir-485	-	3
miRBase	mmu-miR-7219-3p	-	4
miRBase	mmu-miR-1264-5p	-	6
miRBase	mmu-miR-6952-5p	-	1
miRBase	mmu-mir-497a	-	17
miRBase	mmu-miR-190a-5p	-	186
miRBase	mmu-miR-7052-3p	-	18
miRBase	mmu-miR-7649-3p	-	4
miRBase	mmu-mir-146b	-	9616
miRBase	mmu-mir-146a	-	2207
miRBase	mmu-miR-23a-3p	-	15964
miRBase	mmu-miR-8114	-	62
miRBase	mmu-miR-665-5p	-	1
miRBase	mmu-miR-8112	-	59
miRBase	mmu-miR-6986-5p	-	2
miRBase	mmu-miR-8111	-	5
miRBase	mmu-miR-219a-1-3p	-	28
miRBase	mmu-miR-1930-3p	-	1
miRBase	mmu-miR-6930-5p	-	1
miRBase	mmu-miR-3068-3p	-	230
miRBase	mmu-miR-340-5p	-	3682
miRBase	mmu-miR-140-3p	-	3630
miRBase	mmu-mir-1247	-	2
miRBase	mmu-miR-677-3p	-	5
miRBase	mmu-mir-6933	-	2
miRBase	mmu-miR-7036b-5p	-	2
miRBase	mmu-mir-6931	-	1
miRBase	mmu-mir-1249	-	2
miRBase	mmu-miR-1191a	-	9
miRBase	mmu-miR-1960	-	1
miRBase	mmu-miR-1961	-	9
miRBase	mmu-miR-337-5p	-	21
miRBase	mmu-miR-872-5p	-	740
miRBase	mmu-miR-376b-3p	-	4
miRBase	mmu-miR-7086-3p	-	1
miRBase	mmu-miR-152-3p	-	2798
miRBase	mmu-miR-211-5p	-	62
miRBase	mmu-miR-22-5p	-	122
miRBase	mmu-mir-450b	-	51
miRBase	mmu-mir-450a-2	-	1
miRBase	mmu-mir-450a-1	-	3
miRBase	mmu-miR-16-2-3p	-	66
miRBase	mmu-miR-223-3p	-	799
miRBase	mmu-miR-653-3p	-	1
miRBase	mmu-miR-329-3p	-	12
miRBase	mmu-miR-139-5p	-	119
miRBase	mmu-mir-6944	-	1
miRBase	mmu-miR-18b-3p	-	2
miRBase	mmu-miR-6952-3p	-	6
miRBase	mmu-mir-148a	-	1220
miRBase	mmu-miR-7054-3p	-	4
miRBase	mmu-miR-409-3p	-	61
miRBase	mmu-miR-701-5p	-	1
miRBase	mmu-miR-26b-3p	-	45
miRBase	mmu-mir-148b	-	4
miRBase	mmu-miR-1298-5p	-	1007
miRBase	mmu-miR-701-3p	-	1
miRBase	mmu-miR-6940-3p	-	2
miRBase	mmu-mir-451a	-	363
miRBase	mmu-miR-665-3p	-	2
miRBase	mmu-miR-384-5p	-	1
miRBase	mmu-miR-299b-3p	-	1
miRBase	mmu-mir-1264	-	12
miRBase	mmu-miR-7669-5p	-	1
