DB	Name	ID	Count
GEN_snRNA	Gm22249	-	1
GEN_snRNA	Gm24305	-	142
GEN_snRNA	Gm22363	-	1
GEN_snRNA	Gm22122	-	4
GEN_snRNA	Gm24265	-	18
GEN_snRNA	Gm23330	-	5
GEN_snRNA	Gm24144	-	1
GEN_snRNA	Gm25514	-	5
GEN_snRNA	Gm23214	-	1
GEN_snRNA	Gm22126	-	3
GEN_snRNA	Gm26444	-	145
GEN_snRNA	Gm23971	-	1004
GEN_snRNA	Gm23966	-	1
GEN_snRNA	Gm22513	-	142
GEN_snRNA	Gm22634	-	145
GEN_snRNA	Gm23849	-	1004
GEN_snRNA	Gm26430	-	2
GEN_snRNA	Gm24890	-	2
GEN_snRNA	Gm23287	-	15
GEN_snRNA	Gm24497	-	702
GEN_snRNA	Gm22474	-	1
GEN_snRNA	Gm25106	-	420
GEN_snRNA	Gm26316	-	611
GEN_snRNA	Gm22472	-	3
GEN_snRNA	Gm24535	-	1
GEN_snRNA	Gm25189	-	19
GEN_snRNA	Gm22995	-	1
GEN_snRNA	Gm23686	-	10
GEN_snRNA	Gm23169	-	1
GEN_snRNA	Gm23444	-	1029
GEN_snRNA	Gm24136	-	2
GEN_snRNA	Gm25587	-	3
GEN_snRNA	Gm23879	-	1
GEN_snRNA	Gm25939	-	934
GEN_snRNA	Gm23238	-	66
GEN_snRNA	Gm26505	-	5
GEN_snRNA	Gm25813	-	923
GEN_snRNA	Gm22946	-	8
GEN_snRNA	Rnu2-10	-	1004
GEN_snRNA	Gm25890	-	96
GEN_snRNA	Gm25132	-	1
GEN_snRNA	Gm25099	-	559
GEN_snRNA	Gm25253	-	2
GEN_snRNA	Gm25258	-	3
GEN_snRNA	Gm25259	-	9
GEN_snRNA	Gm24046	-	4
GEN_snRNA	Gm22265	-	1
GEN_snRNA	Gm25930	-	1
GEN_snRNA	Gm25414	-	3
GEN_snRNA	Gm23472	-	1029
GEN_snRNA	Gm26108	-	1
GEN_snRNA	Gm23511	-	2
GEN_snRNA	Gm22423	-	1
GEN_snRNA	Gm24840	-	65
GEN_snRNA	Gm22421	-	1
GEN_snRNA	Gm23355	-	3
GEN_snRNA	Gm25805	-	1
GEN_snRNA	Gm23744	-	474
GEN_snRNA	Gm23502	-	1
GEN_snRNA	Gm25360	-	778
GEN_snRNA	Gm24274	-	1
GEN_snRNA	Gm23100	-	1
GEN_snRNA	Gm25887	-	6
GEN_snRNA	Gm25007	-	70
GEN_snRNA	Gm23345	-	56
GEN_snRNA	Gm24830	-	15
GEN_snRNA	Gm26335	-	1
GEN_snRNA	Gm24950	-	1004
GEN_snRNA	Gm23102	-	5
GEN_snRNA	Gm22847	-	1
GEN_snRNA	Gm26361	-	2
GEN_snRNA	Gm23095	-	1
GEN_snRNA	Gm25313	-	139
GEN_snRNA	Rnu7	-	274
GEN_snRNA	Rnu1a1	-	145
GEN_snRNA	Gm22042	-	94
GEN_snRNA	Gm25679	-	145
GEN_snRNA	Rnu5g	-	137
GEN_snRNA	Gm26244	-	68
GEN_snRNA	Gm24621	-	2
GEN_snRNA	Gm22317	-	145
GEN_snRNA	Gm22710	-	11
GEN_snRNA	Gm24459	-	1
GEN_snRNA	Gm22958	-	42
GEN_snRNA	Gm25704	-	20
GEN_snRNA	Gm23804	-	145
GEN_snRNA	Gm23928	-	4
GEN_snRNA	Gm26473	-	1
GEN_snRNA	Gm26110	-	16
GEN_snRNA	Gm26232	-	15
GEN_snRNA	Gm23240	-	7
GEN_snRNA	Gm25380	-	1
GEN_snRNA	Rnu6-ps2	-	1
GEN_snRNA	Gm25541	-	4
GEN_snRNA	Gm23520	-	1
GEN_snRNA	Gm24407	-	9
GEN_snRNA	Gm24924	-	68
GEN_snRNA	Gm23316	-	2
GEN_snRNA	Gm22985	-	1
GEN_snRNA	Gm24525	-	4
GEN_snRNA	Gm22505	-	1
GEN_snRNA	Rnu12	-	49
GEN_snRNA	Rnu11	-	15
GEN_snRNA	Gm25052	-	3
GEN_snRNA	Gm25176	-	1
GEN_snRNA	Gm22583	-	1
GEN_snRNA	Gm22220	-	42
GEN_snRNA	Gm23793	-	5
GEN_snRNA	Gm22067	-	1
GEN_snRNA	Gm26146	-	1
GEN_snRNA	Gm24402	-	22
GEN_snRNA	Gm22984	-	28
GEN_snRNA	Gm22068	-	145
GEN_snRNA	Gm25179	-	4
GEN_snRNA	Gm24763	-	6
GEN_snRNA	Gm22614	-	96
GEN_snRNA	Gm22618	-	1
GEN_snRNA	Gm22739	-	1
GEN_snRNA	Gm26254	-	1
GEN_snRNA	Gm25682	-	24
GEN_snRNA	Rnu1b1	-	94
GEN_snRNA	Gm22451	-	76
GEN_snRNA	Gm23661	-	6
GEN_snRNA	Rnu1b2	-	94
GEN_snRNA	Gm24871	-	47
GEN_snRNA	Gm23143	-	103
GEN_snRNA	Gm25321	-	2
GEN_snRNA	Rnu1b6	-	15
GEN_snRNA	Gm23148	-	3
GEN_snRNA	Gm24996	-	2
GEN_snRNA	Gm22456	-	5
GEN_snRNA	Gm22973	-	434
GEN_snRNA	Gm22333	-	1
GEN_snRNA	Gm22971	-	1
GEN_snRNA	Gm22850	-	3
GEN_snRNA	Gm25202	-	513
