DB	Name	ID	Count
GEN_snoRNA	Gm22128	-	4
GEN_snoRNA	Gm25636	-	2
GEN_snoRNA	Gm25878	-	2263
GEN_snoRNA	Snora75	-	2
GEN_snoRNA	Gm22806	-	2
GEN_snoRNA	Snora78	-	4
GEN_snoRNA	Gm26287	-	5
GEN_snoRNA	Snora81	-	17
GEN_snoRNA	Gm25632	-	5110
GEN_snoRNA	Gm22362	-	7
GEN_snoRNA	Gm25635	-	8
GEN_snoRNA	Gm23456	-	1
GEN_snoRNA	Gm22247	-	6
GEN_snoRNA	Gm22489	-	13909
GEN_snoRNA	Gm22486	-	50
GEN_snoRNA	Gm23212	-	724
GEN_snoRNA	Gm24539	-	8
GEN_snoRNA	Gm23568	-	1
GEN_snoRNA	Gm25506	-	2375
GEN_snoRNA	Snora65	-	100
GEN_snoRNA	Snora64	-	6
GEN_snoRNA	Snord50b	-	5802
GEN_snoRNA	Snord50a	-	5019
GEN_snoRNA	Snora69	-	6
GEN_snoRNA	Snora68	-	152
GEN_snoRNA	Snora36b	-	231
GEN_snoRNA	Gm26397	-	26
GEN_snoRNA	Gm24091	-	110
GEN_snoRNA	Mir5117	-	263
GEN_snoRNA	Gm26270	-	4
GEN_snoRNA	Snora70	-	6
GEN_snoRNA	Gm24095	-	8
GEN_snoRNA	Gm23442	-	2
GEN_snoRNA	Scarna10	-	83
GEN_snoRNA	Gm22353	-	2
GEN_snoRNA	Gm25744	-	405
GEN_snoRNA	Gm23446	-	4
GEN_snoRNA	Snord116l17	-	4
GEN_snoRNA	Gm22357	-	490
GEN_snoRNA	Snord116l16	-	4
GEN_snoRNA	Gm22354	-	9
GEN_snoRNA	Snord116l15	-	4
GEN_snoRNA	Gm23201	-	486
GEN_snoRNA	Snord116l13	-	4
GEN_snoRNA	Gm24208	-	20
GEN_snoRNA	Gm22149	-	2
GEN_snoRNA	Snord116l11	-	4
GEN_snoRNA	Snord116l10	-	4
GEN_snoRNA	Snord83b	-	1356
GEN_snoRNA	Gm26188	-	4
GEN_snoRNA	Snord96a	-	775
GEN_snoRNA	Gm23592	-	1
GEN_snoRNA	Gm24564	-	3
GEN_snoRNA	Gm26502	-	4
GEN_snoRNA	Gm25776	-	2
GEN_snoRNA	Snord16a	-	21
GEN_snoRNA	Gm26504	-	4
GEN_snoRNA	Gm22027	-	5
GEN_snoRNA	Gm25894	-	477
GEN_snoRNA	Gm22812	-	4
GEN_snoRNA	Gm24438	-	13
GEN_snoRNA	Snora7a	-	107
GEN_snoRNA	Gm25091	-	1165
GEN_snoRNA	Gm26175	-	12
GEN_snoRNA	Snord73a	-	62
GEN_snoRNA	Gm26293	-	21
