DB	Name	ID	Count
circRNA	mmu_circ_0004112	ENSMUST00000066296	8
circRNA	mmu_circ_0005443	ENSMUST00000072013	7
circRNA	mmu_circ_0006775	ENSMUST00000050630	3
circRNA	mmu_circ_0004113	ENSMUST00000171824	16
circRNA	mmu_circ_0006774	ENSMUST00000050630	3
circRNA	mmu_circ_0004114	ENSMUST00000171824	6
circRNA	mmu_circ_0005445	ENSMUST00000072013	41
circRNA	mmu_circ_0006777	ENSMUST00000024739	1
circRNA	mmu_circ_0004115	ENSMUST00000066296	13
circRNA	mmu_circ_0005446	ENSMUST00000072013	2
circRNA	mmu_circ_0004116	ENSMUST00000066296	18
circRNA	mmu_circ_0006779	ENSMUST00000113523	4
circRNA	mmu_circ_0004117	ENSMUST00000066296	1
circRNA	mmu_circ_0005448	ENSMUST00000072013	3
circRNA	mmu_circ_0004118	ENSMUST00000066296	5
circRNA	mmu_circ_0005449	ENSMUST00000022593	4
circRNA	mmu_circ_0004119	ENSMUST00000021332	2
circRNA	mmu_circ_0006771	ENSMUST00000024705	6
circRNA	mmu_circ_0005440	ENSMUST00000134109	14
circRNA	mmu_circ_0006770	ENSMUST00000024705	6
circRNA	mmu_circ_0004110	ENSMUST00000058135	1
circRNA	mmu_circ_0004123	ENSMUST00000058889	3
circRNA	mmu_circ_0005454	ENSMUST00000040990	39
circRNA	mmu_circ_0006786	ENSMUST00000113479	47
circRNA	mmu_circ_0005455	ENSMUST00000040990	1
circRNA	mmu_circ_0004125	ENSMUST00000037181	2
circRNA	mmu_circ_0005456	ENSMUST00000040990	9
circRNA	mmu_circ_0006788	ENSMUST00000066026	5
circRNA	mmu_circ_0004126	ENSMUST00000101379	3
circRNA	mmu_circ_0005457	ENSMUST00000040990	9
circRNA	mmu_circ_0005458	ENSMUST00000040990	18
circRNA	mmu_circ_0005459	ENSMUST00000040990	12
circRNA	mmu_circ_0004129	ENSMUST00000037181	3
circRNA	mmu_circ_0016109	ENSMUST00000037687	1
circRNA	mmu_circ_0016108	ENSMUST00000128115	1
circRNA	mmu_circ_0016105	ENSMUST00000149154	2
circRNA	mmu_circ_0016104	ENSMUST00000149154	2
circRNA	mmu_circ_0016103	ENSMUST00000000804	18
circRNA	mmu_circ_0016102	ENSMUST00000089302	7
circRNA	mmu_circ_0016101	ENSMUST00000089302	8
circRNA	mmu_circ_0016100	ENSMUST00000089302	4
circRNA	mmu_circ_0006780	ENSMUST00000164714	31
circRNA	mmu_circ_0006782	ENSMUST00000024749	5
circRNA	mmu_circ_0004120	ENSMUST00000058889	6
circRNA	mmu_circ_0005451	ENSMUST00000074729	58
circRNA	mmu_circ_0006781	ENSMUST00000024749	1
circRNA	mmu_circ_0004121	ENSMUST00000058889	1
circRNA	mmu_circ_0005452	ENSMUST00000074729	10
circRNA	mmu_circ_0004122	ENSMUST00000058889	2
circRNA	mmu_circ_0006783	ENSMUST00000087031	14
circRNA	mmu_circ_0004134	ENSMUST00000021359	2
circRNA	mmu_circ_0005465	ENSMUST00000022601	4
circRNA	mmu_circ_0006797	ENSMUST00000040624	10
circRNA	mmu_circ_0004135	ENSMUST00000063445	5
circRNA	mmu_circ_0005466	ENSMUST00000040131	11
circRNA	mmu_circ_0006796	ENSMUST00000040624	10
circRNA	mmu_circ_0004136	ENSMUST00000021362	9
circRNA	mmu_circ_0005467	ENSMUST00000040131	2
circRNA	mmu_circ_0006799	None	1
circRNA	mmu_circ_0005468	ENSMUST00000054908	19
circRNA	mmu_circ_0006798	ENSMUST00000040624	101
circRNA	mmu_circ_0016114	ENSMUST00000124226	1
circRNA	mmu_circ_0016113	ENSMUST00000124226	2
circRNA	mmu_circ_0016112	ENSMUST00000116623	45
circRNA	mmu_circ_0016110	ENSMUST00000037687	1
circRNA	mmu_circ_0005460	ENSMUST00000163486	38
circRNA	mmu_circ_0005461	ENSMUST00000022597	31
circRNA	mmu_circ_0006793	ENSMUST00000071841	182
circRNA	mmu_circ_0004131	ENSMUST00000037181	6
circRNA	mmu_circ_0005462	ENSMUST00000022597	1
circRNA	mmu_circ_0005463	ENSMUST00000022597	4
circRNA	mmu_circ_0006795	ENSMUST00000040624	30
circRNA	mmu_circ_0005464	ENSMUST00000022601	1
circRNA	mmu_circ_0005476	ENSMUST00000081331	2
circRNA	mmu_circ_0004146	ENSMUST00000110570	33
circRNA	mmu_circ_0005477	ENSMUST00000081331	5
circRNA	mmu_circ_0004147	ENSMUST00000021468	9
circRNA	mmu_circ_0005478	ENSMUST00000172460	1
circRNA	mmu_circ_0004148	ENSMUST00000085314	20
circRNA	mmu_circ_0005479	ENSMUST00000172255	6
circRNA	mmu_circ_0016126	ENSMUST00000113144	12
circRNA	mmu_circ_0016125	ENSMUST00000115438	3
circRNA	mmu_circ_0016124	ENSMUST00000115438	7
circRNA	mmu_circ_0016123	ENSMUST00000116623	18
circRNA	mmu_circ_0016122	ENSMUST00000087501	10
circRNA	mmu_circ_0016120	ENSMUST00000115438	11
circRNA	mmu_circ_0004140	ENSMUST00000035773	30
circRNA	mmu_circ_0004141	ENSMUST00000035773	17
circRNA	mmu_circ_0005472	ENSMUST00000071370	1
circRNA	mmu_circ_0004142	ENSMUST00000035773	17
circRNA	mmu_circ_0004143	ENSMUST00000035773	119
circRNA	mmu_circ_0005474	ENSMUST00000071370	2
circRNA	mmu_circ_0004144	ENSMUST00000035773	46
circRNA	mmu_circ_0005400	ENSMUST00000022685	10
circRNA	mmu_circ_0006730	ENSMUST00000174757	2611
circRNA	mmu_circ_0005401	ENSMUST00000022685	75
circRNA	mmu_circ_0006732	ENSMUST00000001566	13
circRNA	mmu_circ_0005403	ENSMUST00000022685	65
circRNA	mmu_circ_0006735	ENSMUST00000001566	3
circRNA	mmu_circ_0005404	ENSMUST00000022685	5
circRNA	mmu_circ_0005405	ENSMUST00000022685	1
circRNA	mmu_circ_0006737	ENSMUST00000001566	2
circRNA	mmu_circ_0005406	ENSMUST00000167242	65
circRNA	mmu_circ_0006736	ENSMUST00000001566	2
circRNA	mmu_circ_0005407	ENSMUST00000167242	1
circRNA	mmu_circ_0005408	ENSMUST00000167242	21
circRNA	mmu_circ_0006738	ENSMUST00000001566	1
circRNA	mmu_circ_0005409	ENSMUST00000022699	5
circRNA	mmu_circ_0005410	ENSMUST00000022699	18
circRNA	mmu_circ_0006742	ENSMUST00000127442	1
circRNA	mmu_circ_0005411	ENSMUST00000022699	5
circRNA	mmu_circ_0006741	ENSMUST00000082337	3
circRNA	mmu_circ_0005412	ENSMUST00000022699	3
circRNA	mmu_circ_0006744	ENSMUST00000149452	2
circRNA	mmu_circ_0006743	ENSMUST00000126744	5
circRNA	mmu_circ_0005414	ENSMUST00000022699	1
circRNA	mmu_circ_0006745	ENSMUST00000102675	13
circRNA	mmu_circ_0005416	ENSMUST00000089017	11
circRNA	mmu_circ_0006748	ENSMUST00000025338	2
circRNA	mmu_circ_0005417	ENSMUST00000089017	8
circRNA	mmu_circ_0005418	ENSMUST00000089017	188
circRNA	mmu_circ_0005419	ENSMUST00000165567	4
circRNA	mmu_circ_0006749	ENSMUST00000025338	11
circRNA	mmu_circ_0006740	ENSMUST00000173253	3
circRNA	mmu_circ_0005421	ENSMUST00000170677	13
circRNA	mmu_circ_0005422	ENSMUST00000168470	1
circRNA	mmu_circ_0006752	None	96
circRNA	mmu_circ_0005423	ENSMUST00000022701	6
circRNA	mmu_circ_0006755	None	10
circRNA	mmu_circ_0005424	ENSMUST00000022701	13
circRNA	mmu_circ_0005425	ENSMUST00000022701	37
circRNA	mmu_circ_0006757	None	20
circRNA	mmu_circ_0005426	ENSMUST00000022701	43
circRNA	mmu_circ_0006756	None	23
circRNA	mmu_circ_0005427	ENSMUST00000022701	71
circRNA	mmu_circ_0005428	ENSMUST00000022701	58
circRNA	mmu_circ_0005429	ENSMUST00000022704	57
circRNA	mmu_circ_0006751	None	27
circRNA	mmu_circ_0005420	ENSMUST00000170677	17
circRNA	mmu_circ_0006750	None	12261
circRNA	mmu_circ_0004101	ENSMUST00000130447	24
circRNA	mmu_circ_0005432	ENSMUST00000088970	69
circRNA	mmu_circ_0006764	ENSMUST00000024709	8
circRNA	mmu_circ_0004102	ENSMUST00000172939	12
circRNA	mmu_circ_0005433	ENSMUST00000088970	74
circRNA	mmu_circ_0006763	ENSMUST00000024709	40
circRNA	mmu_circ_0004103	ENSMUST00000021380	1
circRNA	mmu_circ_0005434	ENSMUST00000088970	23
circRNA	mmu_circ_0006766	ENSMUST00000024708	1
circRNA	mmu_circ_0006765	ENSMUST00000024708	5
circRNA	mmu_circ_0006768	ENSMUST00000024708	10
circRNA	mmu_circ_0005437	ENSMUST00000088922	11
circRNA	mmu_circ_0006767	ENSMUST00000024708	10
circRNA	mmu_circ_0004107	ENSMUST00000138980	1
circRNA	mmu_circ_0005438	ENSMUST00000022586	14
circRNA	mmu_circ_0004108	ENSMUST00000138980	6
circRNA	mmu_circ_0005439	ENSMUST00000022586	7
circRNA	mmu_circ_0006769	ENSMUST00000046665	71
circRNA	mmu_circ_0004109	ENSMUST00000055815	1
circRNA	mmu_circ_0006762	ENSMUST00000024711	5
circRNA	mmu_circ_0004100	ENSMUST00000130447	10
circRNA	mmu_circ_0005431	ENSMUST00000160507	13
circRNA	mmu_circ_0006761	ENSMUST00000024711	6
circRNA	mmu_circ_0011284	ENSMUST00000079157	7
circRNA	mmu_circ_0011285	ENSMUST00000135299	18
circRNA	mmu_circ_0011286	ENSMUST00000079157	28
circRNA	mmu_circ_0011287	ENSMUST00000030698	22
circRNA	mmu_circ_0011281	ENSMUST00000102568	8
circRNA	mmu_circ_0011282	ENSMUST00000079157	26
circRNA	mmu_circ_0011283	ENSMUST00000079157	16
circRNA	mmu_circ_0006704	ENSMUST00000173972	23
circRNA	mmu_circ_0006703	ENSMUST00000167107	4
circRNA	mmu_circ_0011299	ENSMUST00000148900	3
circRNA	mmu_circ_0011295	ENSMUST00000137707	12
circRNA	mmu_circ_0011296	ENSMUST00000148595	6
circRNA	mmu_circ_0011297	ENSMUST00000148595	2
