DB	Name	ID	Count
miRBase	mmu-miR-297b-5p	-	2
miRBase	mmu-miR-6962-3p	-	1
miRBase	mmu-miR-7084-5p	-	2
miRBase	mmu-miR-1843a-3p	-	95
miRBase	mmu-miR-147-3p	-	18
miRBase	mmu-miR-92a-3p	-	162946
miRBase	mmu-mir-17	-	58
miRBase	mmu-mir-872	-	6
miRBase	mmu-mir-874	-	6
miRBase	mmu-mir-92a-2	-	153
miRBase	mmu-mir-877	-	28
miRBase	mmu-mir-879	-	14
miRBase	mmu-mir-92a-1	-	3695
miRBase	mmu-miR-708-3p	-	65
miRBase	mmu-miR-7015-3p	-	28
miRBase	mmu-miR-1843a-5p	-	1150
miRBase	mmu-miR-466b-3p	-	23
miRBase	mmu-miR-297b-3p	-	2
miRBase	mmu-mir-409	-	1
miRBase	mmu-miR-146b-5p	-	376043
miRBase	mmu-miR-29b-2-5p	-	27
miRBase	mmu-miR-1298-3p	-	34
miRBase	mmu-miR-147-5p	-	29
miRBase	mmu-miR-434-3p	-	263
miRBase	mmu-miR-7027-3p	-	1
miRBase	mmu-miR-7117-5p	-	1
miRBase	mmu-mir-410	-	1
miRBase	mmu-mir-411	-	40
miRBase	mmu-miR-205-3p	-	11
miRBase	mmu-miR-708-5p	-	109
miRBase	mmu-miR-669p-3p	-	1
miRBase	mmu-miR-3098-5p	-	5
miRBase	mmu-miR-466b-5p	-	3
miRBase	mmu-mir-421	-	21
miRBase	mmu-miR-500-5p	-	8
miRBase	mmu-miR-6925-5p	-	5
miRBase	mmu-mir-423	-	203
miRBase	mmu-mir-425	-	77
miRBase	mmu-miR-181a-2-3p	-	2
miRBase	mmu-miR-467d-3p	-	22
miRBase	mmu-mir-429	-	15
miRBase	mmu-miR-7039-3p	-	1
miRBase	mmu-mir-297b	-	6
miRBase	mmu-mir-297c	-	6
miRBase	mmu-miR-146b-3p	-	18
miRBase	mmu-miR-434-5p	-	281
miRBase	mmu-mir-431	-	1
miRBase	mmu-miR-30c-5p	-	77699
miRBase	mmu-mir-1668	-	1
miRBase	mmu-mir-365-1	-	14
miRBase	mmu-mir-434	-	44
miRBase	mmu-mir-365-2	-	62
miRBase	mmu-miR-184-3p	-	160
miRBase	mmu-miR-320-3p	-	3016
miRBase	mmu-miR-7084-3p	-	1
miRBase	mmu-miR-3098-3p	-	4
miRBase	mmu-miR-669p-5p	-	65
miRBase	mmu-miR-669a-5p	-	65
miRBase	mmu-miR-378b	-	57
miRBase	mmu-miR-3086-5p	-	53
miRBase	mmu-miR-378d	-	41
miRBase	mmu-miR-378c	-	351
miRBase	mmu-mir-448	-	3
miRBase	mmu-mir-299a	-	3
miRBase	mmu-mir-299b	-	1
miRBase	mmu-miR-467d-5p	-	7
miRBase	mmu-miR-298-5p	-	72
miRBase	mmu-miR-5624-3p	-	2
miRBase	mmu-miR-491-5p	-	20
miRBase	mmu-mir-199a-2	-	5499
miRBase	mmu-miR-3086-3p	-	1
miRBase	mmu-mir-199a-1	-	5491
miRBase	mmu-miR-496a-3p	-	2
miRBase	mmu-mir-452	-	21
miRBase	mmu-mir-455	-	38
