DB	Name	ID	Count
GEN_snRNA	Gm22129	-	1
GEN_snRNA	Gm22249	-	2
GEN_snRNA	Gm24305	-	364
GEN_snRNA	Gm25518	-	1
GEN_snRNA	Gm26290	-	3
GEN_snRNA	Gm25080	-	1
GEN_snRNA	Gm22363	-	2
GEN_snRNA	Gm22122	-	16
GEN_snRNA	Gm23330	-	26
GEN_snRNA	Gm25514	-	17
GEN_snRNA	Gm23214	-	1
GEN_snRNA	Gm22126	-	4
GEN_snRNA	Gm23680	-	18
GEN_snRNA	Gm24890	-	10
GEN_snRNA	Gm22352	-	1
GEN_snRNA	Gm22472	-	9
GEN_snRNA	Gm24535	-	1
GEN_snRNA	Gm25189	-	72
GEN_snRNA	Gm23686	-	57
GEN_snRNA	Gm23444	-	2218
GEN_snRNA	Gm24207	-	1
GEN_snRNA	Gm23238	-	220
GEN_snRNA	Gm26505	-	24
GEN_snRNA	Gm22946	-	1
GEN_snRNA	Gm25890	-	230
GEN_snRNA	Gm25099	-	1056
GEN_snRNA	Gm23470	-	2
GEN_snRNA	Gm26501	-	2
GEN_snRNA	Gm24200	-	4
GEN_snRNA	Gm22265	-	6
GEN_snRNA	Gm25897	-	1
GEN_snRNA	Gm25414	-	2
GEN_snRNA	Gm25899	-	3
GEN_snRNA	Gm23472	-	2218
GEN_snRNA	Gm25657	-	1
GEN_snRNA	Gm25772	-	1
GEN_snRNA	Gm24204	-	6
GEN_snRNA	Gm23355	-	2
GEN_snRNA	Gm22259	-	1
GEN_snRNA	Gm22818	-	1
GEN_snRNA	Gm26054	-	1
GEN_snRNA	Gm26177	-	3
GEN_snRNA	Gm25081	-	1
GEN_snRNA	Gm23100	-	8
GEN_snRNA	Gm22251	-	2
GEN_snRNA	Gm25887	-	18
GEN_snRNA	Gm23345	-	42
GEN_snRNA	Gm22448	-	2
GEN_snRNA	Gm26361	-	1
GEN_snRNA	Gm26127	-	1
GEN_snRNA	Rnu5g	-	164
GEN_snRNA	Gm26244	-	243
GEN_snRNA	Gm26245	-	1
GEN_snRNA	Gm24621	-	1
GEN_snRNA	Gm22317	-	384
GEN_snRNA	Gm25703	-	1
GEN_snRNA	Gm25704	-	99
GEN_snRNA	Gm23649	-	1
GEN_snRNA	Gm26473	-	4
GEN_snRNA	Gm26110	-	46
GEN_snRNA	Gm26232	-	68
GEN_snRNA	Gm25380	-	1
GEN_snRNA	Gm23765	-	2
GEN_snRNA	Gm23763	-	2
GEN_snRNA	Gm25147	-	1
GEN_snRNA	Gm26357	-	1
GEN_snRNA	Gm24407	-	34
GEN_snRNA	Gm25618	-	1
GEN_snRNA	Gm24405	-	22
GEN_snRNA	Gm24525	-	5
GEN_snRNA	Gm25173	-	1
GEN_snRNA	Gm26264	-	2
GEN_snRNA	Gm25176	-	1
GEN_snRNA	Gm22220	-	104
GEN_snRNA	Gm26146	-	3
GEN_snRNA	Gm24402	-	28
GEN_snRNA	Gm24522	-	1
GEN_snRNA	Gm25179	-	9
GEN_snRNA	Gm24763	-	18
GEN_snRNA	Gm22578	-	2
GEN_snRNA	Gm26254	-	1
GEN_snRNA	Gm25280	-	4
GEN_snRNA	Gm24630	-	1
GEN_snRNA	Gm22451	-	54
GEN_snRNA	Gm23661	-	6
GEN_snRNA	Gm24871	-	75
GEN_snRNA	Gm24996	-	3
GEN_snRNA	Gm22456	-	34
GEN_snRNA	Gm22454	-	2
GEN_snRNA	Gm22333	-	2
GEN_snRNA	Gm22886	-	1
GEN_snRNA	Gm22887	-	1
GEN_snRNA	Gm23737	-	2
GEN_snRNA	Gm24261	-	2
GEN_snRNA	Gm26325	-	1
GEN_snRNA	Gm24145	-	1
GEN_snRNA	Gm24265	-	38
GEN_snRNA	Gm26206	-	1
GEN_snRNA	Gm26328	-	1
GEN_snRNA	Gm23732	-	1
GEN_snRNA	Gm24149	-	3
GEN_snRNA	Gm23610	-	1
GEN_snRNA	Gm26444	-	383
GEN_snRNA	Gm26324	-	1
GEN_snRNA	Gm23971	-	2547
GEN_snRNA	Gm22997	-	3
GEN_snRNA	Gm22513	-	367
GEN_snRNA	Gm22634	-	384
GEN_snRNA	Gm23849	-	2547
GEN_snRNA	Gm25581	-	7
GEN_snRNA	Gm25220	-	1
GEN_snRNA	Gm26430	-	2
GEN_snRNA	Gm22073	-	1
GEN_snRNA	Gm26435	-	1
GEN_snRNA	Gm25104	-	1
GEN_snRNA	Gm23287	-	45
GEN_snRNA	Gm24497	-	910
GEN_snRNA	Gm25106	-	216
GEN_snRNA	Gm26316	-	1077
GEN_snRNA	Gm25101	-	1
GEN_snRNA	Gm24136	-	34
GEN_snRNA	Gm25587	-	19
GEN_snRNA	Gm23879	-	2
GEN_snRNA	Gm25818	-	7
GEN_snRNA	Gm25939	-	2009
GEN_snRNA	Gm25813	-	1923
GEN_snRNA	Gm23518	-	2
GEN_snRNA	Gm23517	-	1
GEN_snRNA	Rnu2-10	-	2547
GEN_snRNA	Gm25131	-	2
GEN_snRNA	Gm24043	-	1
GEN_snRNA	Gm25258	-	2
GEN_snRNA	Gm24168	-	1
GEN_snRNA	Gm25259	-	17
GEN_snRNA	Gm24046	-	12
GEN_snRNA	Gm25930	-	4
GEN_snRNA	Gm26228	-	1
GEN_snRNA	Gm26108	-	3
GEN_snRNA	Gm25134	-	4
GEN_snRNA	Gm23511	-	24
GEN_snRNA	Gm22423	-	3
GEN_snRNA	Gm23510	-	6
GEN_snRNA	Gm25135	-	2
GEN_snRNA	Gm24840	-	50
GEN_snRNA	Gm23623	-	1
GEN_snRNA	Gm23744	-	292
GEN_snRNA	Gm23865	-	1
GEN_snRNA	Gm23502	-	9
GEN_snRNA	Gm23629	-	1
GEN_snRNA	Gm24959	-	1
GEN_snRNA	Gm25360	-	1473
GEN_snRNA	Gm24274	-	1
GEN_snRNA	Gm24032	-	2
GEN_snRNA	Gm24036	-	1
GEN_snRNA	Gm25007	-	48
GEN_snRNA	Gm24830	-	68
GEN_snRNA	Gm24038	-	1
GEN_snRNA	Gm24950	-	2547
GEN_snRNA	Gm23814	-	2
GEN_snRNA	Gm25313	-	171
GEN_snRNA	Rnu7	-	282
GEN_snRNA	Rnu1a1	-	384
GEN_snRNA	Gm24584	-	1
GEN_snRNA	Gm22042	-	209
GEN_snRNA	Gm25679	-	383
GEN_snRNA	Gm25793	-	2
GEN_snRNA	Gm25794	-	1
GEN_snRNA	Gm24225	-	1
GEN_snRNA	Gm25312	-	1
GEN_snRNA	Gm22710	-	35
GEN_snRNA	Gm24459	-	5
GEN_snRNA	Gm22958	-	39
GEN_snRNA	Gm23804	-	385
GEN_snRNA	Gm23928	-	18
GEN_snRNA	Gm23240	-	41
