DB	Name	ID	Count
GEN_snoRNA	Snora75	-	36
GEN_snoRNA	Gm22806	-	3
GEN_snoRNA	Gm22807	-	2
GEN_snoRNA	Snora78	-	18
GEN_snoRNA	Gm25074	-	49
GEN_snoRNA	Gm26287	-	308
GEN_snoRNA	Snora81	-	43
GEN_snoRNA	Gm22912	-	2
GEN_snoRNA	Snora65	-	136
GEN_snoRNA	Snora64	-	174
GEN_snoRNA	Snord50b	-	958011
GEN_snoRNA	Snord50a	-	939766
GEN_snoRNA	Snora69	-	36
GEN_snoRNA	Snora68	-	552
GEN_snoRNA	Snora36b	-	576
GEN_snoRNA	Gm26032	-	49
GEN_snoRNA	Gm26397	-	68
GEN_snoRNA	Gm24091	-	795
GEN_snoRNA	Gm26270	-	51
GEN_snoRNA	Gm26392	-	2
GEN_snoRNA	Snora70	-	8
GEN_snoRNA	Gm24095	-	16
GEN_snoRNA	Snora5c	-	5
GEN_snoRNA	Gm25188	-	3
GEN_snoRNA	Gm22941	-	2
GEN_snoRNA	Snord83b	-	107924
GEN_snoRNA	Gm25098	-	2
GEN_snoRNA	Gm26188	-	2
GEN_snoRNA	Snord96a	-	31171
GEN_snoRNA	Gm25094	-	2
GEN_snoRNA	DQ267102	-	16
GEN_snoRNA	Gm22812	-	51
GEN_snoRNA	Snora7a	-	124
GEN_snoRNA	DQ267100	-	90
GEN_snoRNA	Gm25091	-	129648
GEN_snoRNA	Gm26175	-	54
GEN_snoRNA	Snord73a	-	6512
GEN_snoRNA	Gm26293	-	9247
GEN_snoRNA	Gm26059	-	2
GEN_snoRNA	Snora33	-	15
GEN_snoRNA	Snord95	-	72998
GEN_snoRNA	Snora31	-	168
GEN_snoRNA	Snora30	-	56
GEN_snoRNA	Snord93	-	3128
GEN_snoRNA	Snord99	-	88832
GEN_snoRNA	Snora35	-	2
GEN_snoRNA	Snord98	-	1560
GEN_snoRNA	Snora34	-	46
GEN_snoRNA	Gm25394	-	1
GEN_snoRNA	Gm23090	-	33
GEN_snoRNA	Snora2b	-	3
GEN_snoRNA	Gm24067	-	2215
GEN_snoRNA	Gm26365	-	13
GEN_snoRNA	Gm25155	-	51
GEN_snoRNA	Gm25157	-	2
GEN_snoRNA	Gm26246	-	51
GEN_snoRNA	Gm26247	-	7456
GEN_snoRNA	Snora28	-	5
GEN_snoRNA	Snord85	-	111748
GEN_snoRNA	Snora21	-	29
GEN_snoRNA	Snora20	-	18
GEN_snoRNA	Snord82	-	10302
GEN_snoRNA	Snora26	-	3
GEN_snoRNA	Snord89	-	531
GEN_snoRNA	Snora24	-	141
GEN_snoRNA	Snord87	-	12806
GEN_snoRNA	Snora23	-	1
GEN_snoRNA	Snord92	-	641
GEN_snoRNA	Snord90	-	1161
GEN_snoRNA	Gm24299	-	10385
GEN_snoRNA	Gm23089	-	2
GEN_snoRNA	Gm24177	-	40
