miRNA,Lung_F1,Lung_F2,Lung_F3,Lung_M1,Lung_M2,Lung_M3
mmu-let-7a-1-3p/7c-2-3p,88.896,89.9543,66.7589,13.7392,24.2783,15.0474
mmu-let-7a-2-3p,0.0,0.0,0.0,0.4785,0.3121,0.2525
mmu-let-7a-5p,5184.2453,4267.9867,7382.1816,5391.4301,8208.1217,5612.5281
mmu-let-7b-3p,91.4834,80.7692,69.855,53.4529,52.6758,39.6383
mmu-let-7b-5p,2169.6356,1952.737,2694.3512,2747.63,3420.2432,2932.1219
mmu-let-7c-1-3p,1.0165,0.9984,0.0,0.2051,0.8114,0.404
mmu-let-7c-5p,7338.726,6054.3931,8949.9519,10769.7363,12671.8321,11435.8207
mmu-let-7d-3p,237.6721,225.1353,220.9817,121.7387,176.8134,109.6238
mmu-let-7d-5p,642.0473,530.2411,817.1678,1339.8088,1666.4019,1399.6605
mmu-let-7e-3p,12.3826,10.2833,6.1921,3.2126,6.2412,3.9891
mmu-let-7e-5p/7k,452.3347,342.1458,530.5883,406.9803,637.9761,437.7379
mmu-let-7f-1-3p,0.0,0.0,0.0,0.0,5.7419,5.5039
mmu-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-let-7f-5p,14759.1403,10931.6928,22286.6419,16222.7535,20835.5165,16417.6204
mmu-let-7g-3p,7.485,9.3848,5.6116,1.9139,1.9972,2.0703
mmu-let-7g-5p,2611.3434,2080.9293,3313.5643,1953.492,2418.5296,1996.4565
mmu-let-7i-3p,4.3432,16.5732,12.7713,2.5975,4.4313,4.4435
mmu-let-7i-5p,6087.7134,5192.3894,7975.2717,5307.7647,7351.4538,5172.0635
mmu-let-7j,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-100-3p,1.3861,0.599,0.5805,0.4785,0.6241,0.303
mmu-miR-100-5p,652.3045,741.8983,476.6006,878.5553,810.4206,855.9849
mmu-miR-101a-3p/101b-3p/101c,3812.0864,6446.2584,6605.6497,2035.1752,1896.8897,2120.0673
mmu-miR-101a-5p,7.7622,9.5845,3.6766,6.4936,5.8667,9.291
mmu-miR-101b-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-103-1-5p/103-2-5p,0.462,0.3994,0.387,0.0,0.5617,0.5049
mmu-miR-103-3p/107-3p,1827.1734,1703.4408,1976.6444,870.763,895.8627,894.6638
mmu-miR-105,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-106a-5p,1.1089,0.7987,0.0,0.0,0.9986,0.5049
mmu-miR-106b-3p,36.3161,24.2607,32.8957,28.0935,28.3351,26.8631
mmu-miR-106b-5p,64.6852,74.2797,57.8577,32.8783,35.5749,37.1135
mmu-miR-107-5p,0.2772,0.599,0.0,0.1367,0.0,0.0
mmu-miR-10a-3p,45.6493,42.9305,26.5101,28.1619,29.7706,31.5591
mmu-miR-10a-5p,187756.2287,191806.3121,192692.5496,223662.5648,214307.4025,228945.6096
mmu-miR-10b-3p,0.5544,1.9968,0.774,1.0253,0.8114,0.9594
mmu-miR-10b-5p,7752.0648,17124.7613,11574.4481,5118.9707,4194.2775,5614.3964
mmu-miR-1187,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1188-3p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1188-5p,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1190,0.0,0.0,0.0,0.0,0.0,0.0
mmu-miR-1191a,0.0,0.0,0.0,0.0,1.1234,1.0604
