Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences
Lung_F1_*	3.3079023936903704	93.29689907185804	46.0	28.063197749457846	40.0	20739536.0									
Lung_F1_*.genome							59764015	58037360	0.01212925	0.0	58037360.0	97.11087851109066	0.0	0.0	59764015.0
Lung_F1_*.hairpin							13474318	3896331	0.02745549	0.0	3896331.0	28.91672142515859	0.0	0.0	13474318.0
Lung_F1_*.mature							21465439	8949821	0.003381874	0.0	8949821.0	41.69409719503058	0.0	0.0	21465439.0
Lung_F2_*	3.596648260928173	92.64735788434324	47.0	27.57597851637124	40.0	17931049.0									
Lung_F2_*.genome							68825575	67617951	0.008261087	0.0	67617951.0	98.24538480063552	0.0	0.0	68825575.0
Lung_F2_*.hairpin							10840296	3129654	0.02711679	0.0	3129654.0	28.87055851611432	0.0	0.0	10840296.0
Lung_F2_*.mature							18378267	8188372	0.003328438	0.0	8188372.0	44.5546470730891	0.0	0.0	18378267.0
Lung_F3_*	3.000211256947927	96.9554609977282	48.0	30.08227172567643	40.0	20137854.0									
Lung_F3_*.genome							127590037	126241374	0.008947488	0.0	126241374.0	98.94297154251942	0.0	0.0	127590037.0
Lung_F3_*.hairpin							16689854	1877846	0.02875445	0.0	1877846.0	11.251422570862513	0.0	0.0	16689854.0
Lung_F3_*.mature							20394555	4151541	0.003448368	0.0	4151541.0	20.35612446557427	0.0	0.0	20394555.0
Lung_M1_*	2.7550924838503352	97.63753061349674	45.0	37.6366982198777	40.0	25479710.0									
Lung_M1_*.genome							53089453	51701295	0.009537258	0.0	51701295.0	97.38524712243691	0.0	0.0	53089453.0
Lung_M1_*.hairpin							13484232	2776075	0.03039015	0.0	2776075.0	20.587564794198144	0.0	0.0	13484232.0
Lung_M1_*.mature							26026895	13158223	0.00205675	0.0	13158223.0	50.55625344475397	0.0	0.0	26026895.0
Lung_M2_*	2.699063617814923	97.16223208775489	46.0	37.44885820993785	40.0	28669675.0									
Lung_M2_*.genome							64311461	62426503	0.009762864	0.0	62426503.0	97.06901698283608	0.0	0.0	64311461.0
Lung_M2_*.hairpin							15582733	3091737	0.03007006	0.0	3091737.0	19.84078787719715	0.0	0.0	15582733.0
Lung_M2_*.mature							29275773	14365966	0.002090287	0.0	14365966.0	49.07117567826476	0.0	0.0	29275773.0
Lung_M3_*	2.8776907745391442	95.6639833872996	45.0	36.24667509375304	40.0	34230890.0									
Lung_M3_*.genome							77473060	75833319	0.00967293	0.0	75833319.0	97.8834694279534	0.0	0.0	77473060.0
Lung_M3_*.hairpin							17841100	3598501	0.030347	0.0	3598501.0	20.16972608191199	0.0	0.0	17841100.0
Lung_M3_*.mature							34905524	17827973	0.002113057	0.0	17827973.0	51.07493301060314	0.0	0.0	34905524.0
