Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Lung_F1_*.genome	59764015	0	0	0	0	0	0	0	58037360	0	97.11	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	59764015
Lung_F1_*.hairpin	13474318	0	0	0	0	0	0	0	3896331	0	28.92	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13474318
Lung_F1_*.mature	21465439	0	0	0	0	0	0	0	8949821	0	41.69	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	21465439
Lung_F2_*.genome	68825575	0	0	0	0	0	0	0	67617951	0	98.25	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	68825575
Lung_F2_*.hairpin	10840296	0	0	0	0	0	0	0	3129654	0	28.87	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10840296
Lung_F2_*.mature	18378267	0	0	0	0	0	0	0	8188372	0	44.55	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	18378267
Lung_F3_*.genome	127590037	0	0	0	0	0	0	0	126241374	0	98.94	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	127590037
Lung_F3_*.hairpin	16689854	0	0	0	0	0	0	0	1877846	0	11.25	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	16689854
Lung_F3_*.mature	20394555	0	0	0	0	0	0	0	4151541	0	20.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	20394555
Lung_M1_*.genome	53089453	0	0	0	0	0	0	0	51701295	0	97.39	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	53089453
Lung_M1_*.hairpin	13484232	0	0	0	0	0	0	0	2776075	0	20.59	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13484232
Lung_M1_*.mature	26026895	0	0	0	0	0	0	0	13158223	0	50.56	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	26026895
Lung_M2_*.genome	64311461	0	0	0	0	0	0	0	62426503	0	97.07	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	64311461
Lung_M2_*.hairpin	15582733	0	0	0	0	0	0	0	3091737	0	19.84	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	15582733
Lung_M2_*.mature	29275773	0	0	0	0	0	0	0	14365966	0	49.07	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	29275773
Lung_M3_*.genome	77473060	0	0	0	0	0	0	0	75833319	0	97.88	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	77473060
Lung_M3_*.hairpin	17841100	0	0	0	0	0	0	0	3598501	0	20.17	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	17841100
Lung_M3_*.mature	34905524	0	0	0	0	0	0	0	17827973	0	51.07	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	34905524
