Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
Lung_F1_*.genome	59764015.0	0.0	59764015.0	1.0	59764015.0	0.0	58037360.0	0.0	1726655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1773201426.0	1773201426.0	0.0	1706619440.0	1706619440.0	0.0	0.0	20700010.0	0.01212925	29.0	30.0	0.0	75.0	75.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.11087851109066	0.0	2.8891214889093377	0.0	0.0	0.0	0.0	0.0
Lung_F1_*.hairpin	13474318.0	0.0	13474318.0	1.0	13474318.0	0.0	3896331.0	0.0	9577987.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425565327.0	425565327.0	0.0	91033496.0	91033496.0	0.0	0.0	2499369.0	0.02745549	31.0	32.0	0.0	75.0	75.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.91672142515859	0.0	71.08327857484142	0.0	0.0	0.0	0.0	0.0
Lung_F1_*.mature	21465439.0	0.0	21465439.0	1.0	21465439.0	0.0	8949821.0	0.0	12515618.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	585817315.0	585817315.0	0.0	182436418.0	182436418.0	0.0	0.0	616977.0	0.003381874	27.0	27.0	0.0	75.0	75.0	0.0	34.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.69409719503058	0.0	58.30590280496942	0.0	0.0	0.0	0.0	0.0
Lung_F2_*.genome	68825575.0	0.0	68825575.0	1.0	68825575.0	0.0	67617951.0	0.0	1207624.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2093154459.0	2093154459.0	0.0	2047692876.0	2047692876.0	0.0	0.0	16916170.0	0.008261087	30.0	30.0	0.0	75.0	75.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.24538480063552	0.0	1.7546151993644805	0.0	0.0	0.0	0.0	0.0
Lung_F2_*.hairpin	10840296.0	0.0	10840296.0	1.0	10840296.0	0.0	3129654.0	0.0	7710642.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342193410.0	342193410.0	0.0	73183299.0	73183299.0	0.0	0.0	1984496.0	0.02711679	31.0	32.0	0.0	75.0	75.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.87055851611432	0.0	71.12944148388569	0.0	0.0	0.0	0.0	0.0
Lung_F2_*.mature	18378267.0	0.0	18378267.0	1.0	18378267.0	0.0	8188372.0	0.0	10189895.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	492498427.0	492498427.0	0.0	165376652.0	165376652.0	0.0	0.0	550446.0	0.003328438	26.0	27.0	0.0	75.0	75.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.5546470730891	0.0	55.44535292691089	0.0	0.0	0.0	0.0	0.0
Lung_F3_*.genome	127590037.0	0.0	127590037.0	1.0	127590037.0	0.0	126241374.0	0.0	1348663.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4011403827.0	4011403827.0	0.0	3963160690.0	3963160690.0	0.0	0.0	35460331.0	0.008947488	31.0	31.0	0.0	75.0	75.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.94297154251942	0.0	1.057028457480579	0.0	0.0	0.0	0.0	0.0
Lung_F3_*.hairpin	16689854.0	0.0	16689854.0	1.0	16689854.0	0.0	1877846.0	0.0	14812008.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	529879193.0	529879193.0	0.0	44046708.0	44046708.0	0.0	0.0	1266539.0	0.02875445	31.0	32.0	0.0	75.0	75.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.251422570862513	0.0	88.74857742913748	0.0	0.0	0.0	0.0	0.0
Lung_F3_*.mature	20394555.0	0.0	20394555.0	1.0	20394555.0	0.0	4151541.0	0.0	16243014.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604177850.0	604177850.0	0.0	84657443.0	84657443.0	0.0	0.0	291930.0	0.003448368	29.0	30.0	0.0	75.0	75.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.35612446557427	0.0	79.64387553442573	0.0	0.0	0.0	0.0	0.0
Lung_M1_*.genome	53089453.0	0.0	53089453.0	1.0	53089453.0	0.0	51701295.0	0.0	1388158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2077624771.0	2077624771.0	0.0	1991242033.0	1991242033.0	0.0	0.0	18990989.0	0.009537258	39.0	39.0	0.0	75.0	75.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.38524712243691	0.0	2.614752877563082	0.0	0.0	0.0	0.0	0.0
