Module	Section	Sample Name	Source
Samtools	stats	Lung_M2_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_M2_*.genome.sorted.bam.stats
Samtools	stats	Lung_M3_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_M3_*.genome.sorted.bam.stats
Samtools	stats	Lung_M1_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_M1_*.genome.sorted.bam.stats
Samtools	stats	Lung_F1_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_F1_*.genome.sorted.bam.stats
Samtools	stats	Lung_F2_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_F2_*.genome.sorted.bam.stats
Samtools	stats	Lung_F3_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_F3_*.genome.sorted.bam.stats
Samtools	stats	Lung_M3_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M3_*.mature.sorted.bam.stats
Samtools	stats	Lung_M3_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M3_*.hairpin.sorted.bam.stats
Samtools	stats	Lung_M2_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M2_*.mature.sorted.bam.stats
Samtools	stats	Lung_M2_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M2_*.hairpin.sorted.bam.stats
Samtools	stats	Lung_F2_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F2_*.mature.sorted.bam.stats
Samtools	stats	Lung_M1_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M1_*.mature.sorted.bam.stats
Samtools	stats	Lung_F1_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F1_*.hairpin.sorted.bam.stats
Samtools	stats	Lung_F3_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F3_*.hairpin.sorted.bam.stats
Samtools	stats	Lung_M1_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M1_*.hairpin.sorted.bam.stats
Samtools	stats	Lung_F3_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F3_*.mature.sorted.bam.stats
Samtools	stats	Lung_F2_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F2_*.hairpin.sorted.bam.stats
Samtools	stats	Lung_F1_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F1_*.mature.sorted.bam.stats
Samtools	flagstat	Lung_F2_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_F2_*.genome.sorted.bam.flagstat
Samtools	flagstat	Lung_F3_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_F3_*.genome.sorted.bam.flagstat
Samtools	flagstat	Lung_F1_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_F1_*.genome.sorted.bam.flagstat
Samtools	flagstat	Lung_M3_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_M3_*.genome.sorted.bam.flagstat
Samtools	flagstat	Lung_M1_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_M1_*.genome.sorted.bam.flagstat
Samtools	flagstat	Lung_M2_*.genome	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools_genome/Lung_M2_*.genome.sorted.bam.flagstat
Samtools	flagstat	Lung_M1_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M1_*.mature.sorted.bam.flagstat
Samtools	flagstat	Lung_M3_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M3_*.hairpin.sorted.bam.flagstat
Samtools	flagstat	Lung_M3_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M3_*.mature.sorted.bam.flagstat
Samtools	flagstat	Lung_F3_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F3_*.mature.sorted.bam.flagstat
Samtools	flagstat	Lung_M2_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M2_*.mature.sorted.bam.flagstat
Samtools	flagstat	Lung_M2_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M2_*.hairpin.sorted.bam.flagstat
Samtools	flagstat	Lung_F1_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F1_*.mature.sorted.bam.flagstat
Samtools	flagstat	Lung_F2_*.mature	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F2_*.mature.sorted.bam.flagstat
Samtools	flagstat	Lung_F1_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F1_*.hairpin.sorted.bam.flagstat
Samtools	flagstat	Lung_M1_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_M1_*.hairpin.sorted.bam.flagstat
Samtools	flagstat	Lung_F2_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F2_*.hairpin.sorted.bam.flagstat
Samtools	flagstat	Lung_F3_*.hairpin	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/samtools/Lung_F3_*.hairpin.sorted.bam.flagstat
Cutadapt	all_sections	Lung_M1_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/trim_galore/Lung_M1_*.fastq_trimming_report.txt
Cutadapt	all_sections	Lung_F1_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/trim_galore/Lung_F1_*.fastq_trimming_report.txt
