Lung_M2_*.hairpin	Lung_M3_*.hairpin	Lung_F1_*.hairpin	Lung_F2_*.hairpin	Lung_F3_*.hairpin	Lung_M1_*.hairpin
mmu-mir-30a	113470.311175009	112978.367502253	257082.132248291	223623.409790754	266388.709364666	117879.686787886
mmu-mir-486a	81297.8357636952	75856.1767336056	143461.803930556	86217.0034324964	156756.586805598	91586.6735954335
mmu-mir-486b	81297.2809319184	75855.7097496287	143461.490239022	86217.0034324964	156756.586805598	91586.6735954335
mmu-mir-10a	101004.628229062	99117.8160835302	89046.0472493786	76415.4487111089	94835.7441559816	104458.285616343
mmu-mir-146b	74849.8582692554	77997.7652517236	122101.606317776	73997.9422426776	118623.67461114	93726.9832534026
mmu-mir-30d	60651.7131001537	58156.7835326788	82851.89422246	64337.9138110547	78715.4934479108	63554.3695301701
mmu-mir-143	26310.1228573193	32873.1035627256	24192.8321632249	51301.5617293495	68514.6025727112	30496.271918344
mmu-mir-146a	41493.6492620726	37160.4834547538	28976.6280540639	17572.0665956218	16750.8585846435	40270.8155308733
mmu-mir-92a-1	30645.3009455872	32674.4018805496	23049.112830897	28271.5165858477	30977.9382102686	36359.4773221256
mmu-mir-30e	20247.7534477769	20684.1212893593	38597.2337049585	34871.3904738824	28692.6583840565	21249.0366012211
mmu-mir-30f	20247.7534477769	20684.1212893593	38597.2337049585	34871.3904738824	28692.6583840565	21249.0366012211
mmu-mir-151	21561.5950953124	19506.154207599	16766.4987914397	12553.9755002555	11338.8147037586	21972.0605774303
mmu-mir-21a	13319.8464663784	12752.8654254874	26776.0819442779	18481.5214068913	24756.0752400243	12931.1201670997
mmu-mir-148a	7465.81638903603	7588.72311680703	8512.64715342288	11156.8329664192	14192.0458547044	8075.91663961524
mmu-mir-3535	4135.16123272039	3322.3575037398	12819.6319128471	12472.746283172	17838.252935913	4480.96340811139
mmu-mir-99b	7303.52809431301	7356.63208028181	7227.13924780594	6249.33857431278	4024.16757133393	8515.28511898517
