Lung_F3_*.mature	Lung_F2_*.mature	Lung_M2_*.mature	Lung_F1_*.mature	Lung_M3_*.mature	Lung_M1_*.mature
mmu-miR-10a-5p	181395.577069609	194679.729875068	219703.1889027	185178.729105621	257952.721915296	245401.347320127
mmu-miR-26a-5p	63504.4662123926	82285.763630328	157102.703095862	106645.793408113	151838.345511945	156822.242637473
mmu-miR-30a-5p	94683.0945700821	137520.320460048	108837.003058517	130051.727044279	129271.368483072	123443.003741478
mmu-miR-143-3p	128868.239583682	110212.389204793	95397.1481058744	34830.2205292048	128950.93468657	113175.757963564
mmu-miR-181a-5p	48223.9753116524	31275.8923058682	49011.1535687316	45924.3104018875	47158.9525111486	48891.658422927
mmu-miR-486a-5p	37084.6878329718	29143.6853533534	26124.8066604496	46887.8708882545	25483.9667402494	28698.0882153789
mmu-miR-486b-5p	37084.6878329718	29143.6853533534	26124.8066604496	46887.8708882545	25483.9667402494	28698.0882153789
mmu-miR-27b-3p	18282.7625631376	23058.0379641765	25803.8027581413	22087.9016133407	25459.9844302448	26261.1565125092
mmu-miR-30d-5p	13445.3802048698	17828.061313884	22033.0807370928	18180.2345319948	25232.2780470331	25011.5543957055
mmu-let-7f-5p	23409.8657286993	12190.1134940339	22940.110050707	16089.3400772545	19618.8479830403	18951.108674269
mmu-miR-146a-5p	8230.61792325512	9602.77241784967	20646.8364096402	14660.1116902703	18918.024615025	19238.2265559904
mmu-miR-125a-5p	6156.30184290099	7195.02229500723	18414.4847848234	9115.23980013042	17220.1147352459	18993.7030852936
mmu-miR-191-5p	7233.68119661812	11533.6655785525	16352.6575345155	15451.5245165867	13580.8305824992	15202.8835341447
mmu-miR-22-3p	7773.43212185506	10802.2912950857	15788.9678095433	9729.62886272483	14797.0224919494	14662.5240274232
mmu-miR-141-3p	6441.56540700576	10828.0799054621	10240.9837727265	10525.9177927126	13411.0709849794	12941.1452177504
mmu-let-7c-5p	9194.86819983844	6540.89767775795	13849.8436565941	7768.58716879857	13625.0911284502	12522.5907811519
mmu-miR-16-5p	4834.41086280834	8505.94332247271	10566.4261768062	10063.111952946	11198.8598393416	11010.364644717
mmu-miR-24-3p	7404.1176861837	7694.53141490989	7949.21349516296	6928.20130126088	12052.6175193237	11064.2511413154
mmu-miR-99b-5p	3678.49912909213	7713.93095514797	9198.43697760706	7240.58994299065	9907.77029681404	10595.1314097578
mmu-miR-10b-5p	12290.1052201806	19298.0121053371	4678.68198825986	8570.49421823383	6823.02997723759	6074.31173828082
mmu-miR-26b-5p	9162.39399946044	9249.74725148125	5744.78147826316	9844.85331252472	7855.83883034336	6866.75044942864
mmu-let-7a-5p	7884.65095190781	4794.70672650753	9206.45491629094	5729.52781613017	6804.32126419732	6378.8659286088
mmu-miR-27a-3p	5108.63744377811	6714.68038551944	7091.00770103459	6910.60492714241	6690.75058671459	6815.35485405977
mmu-miR-30c-5p	5947.66041171424	8397.67762485659	5245.30685150027	9683.94189136904	4719.93206402925	4567.73164463275
mmu-miR-126b-3p	7520.85500780396	10434.3970200318	3624.46622880588	16006.9763261096	2062.98090772936	2357.63801373034
mmu-miR-126a-5p	7520.00600910126	10433.8161954738	3623.39239773215	16005.1742877963	2062.79256498064	2357.05680344345
mmu-let-7i-5p	6862.24426419004	4828.04605613824	7370.99125632622	5480.42251987467	5543.11543780124	5529.4686093462
mmu-miR-34c-5p	4826.13312545709	6263.61203375617	3666.41722941977	6755.62963219537	5245.97336122537	4550.54442614914
mmu-miR-181c-5p	6050.81375409141	6589.57077572056	3867.93952759055	5908.56562267295	3834.90948775838	3826.77155889479
mmu-miR-126a-3p	3602.93824455247	5134.60525786455	4180.4243700472	6528.78480922228	3996.25644250167	3710.03132127179
mmu-miR-146b-5p	4455.75744140736	3388.76280134894	3251.70366874362	5344.84563735945	3157.12671600408	3502.29015873074
mmu-miR-351-5p	4732.31876880953	3264.3501810197	3689.61198061242	2397.34697026142	3421.05768788766	3509.18165213238
mmu-miR-182-5p	5574.73773155644	4128.73328827452	2845.29440170436	4311.42966578717	2652.99595857661	2682.5345640993
mmu-miR-3074-5p	1529.89566225238	1831.10750163388	3559.03412204635	1846.98326891736	4142.47319643051	4038.16604323912
mmu-miR-186-5p	2158.15470224504	3641.88614373683	2833.41067115503	4580.46338574311	2756.33334671181	2824.68199426329
mmu-miR-148a-3p	5840.68657517495	6527.07405327693	2110.14964862593	2560.16643198416	2330.49039183876	2212.91665229586
mmu-miR-101a-3p	6018.12730403774	6413.58093463858	1778.47902431856	3200.95005575628	2194.25580359248	2061.46985754171
mmu-miR-21a-5p	4047.17681573646	4532.17402627962	1902.54230770399	4848.54308541551	2126.70353771553	1946.05810057445
mmu-miR-151-3p	1714.55288008806	2204.1130327984	3260.36590607174	2961.59696684355	3017.1880536995	3159.62517959127
mmu-miR-199a-3p	2072.61808294874	3265.27950031254	2284.68299247686	4113.62946033493	2642.32320281538	2512.73813028777
mmu-miR-199b-3p	2072.61808294874	3265.27950031254	2284.68299247686	4113.62946033493	2642.32320281538	2512.73813028777
mmu-miR-92b-3p	2259.8222968925	2457.12021027468	2118.8834746923	3233.38674539636	2617.02249356964	2670.24611803372
mmu-let-7g-5p	3435.04875109497	2278.45857622577	2585.78522555193	2799.62552315062	2337.20794987671	2231.68144155816
mmu-let-7b-5p	2171.52643181245	1609.1163555562	3013.88588028062	1744.26708505711	2825.32957366234	2587.88031737796
mmu-miR-151-5p	612.764813668511	1002.73551697669	3046.67352239864	1220.61595165194	2891.18675480075	2896.50297971413
mmu-miR-142a-5p	576.894618479741	1756.18113364848	2271.5822533773	1800.2362750243	3009.65434375039	2532.74837016482
mmu-miR-30b-5p	2210.36812246064	3559.6413863203	1854.07673190945	3321.36861598873	1637.76576201874	1596.91677823827
mmu-miR-23a-3p	1006.70021171796	1462.05157746393	2201.92641106108	1631.58668934665	2417.56752266714	2442.82683577955
mmu-miR-451a	1697.78515570988	2599.07373225632	1481.24258310894	2876.68916160923	1691.12954082489	1709.50551381208
mmu-miR-29a-3p	852.60694717922	1792.77308080414	1868.89560072698	1904.22448592926	2104.73021703064	1957.18412606626
mmu-miR-322-5p	1019.43519225835	1683.92655863	1796.87733004854	1256.12670665006	2110.75718498993	2045.36202959088
mmu-miR-181b-5p	1616.91802927839	1285.36474691232	1704.9573901369	1306.90178618469	1604.74300007518	1667.74140319731
mmu-miR-30e-5p	903.12236998944	1434.28816359027	1324.89277877324	1355.45081839108	1672.04414228716	1579.23137950875
mmu-miR-192-5p	2419.00955364739	2119.19648241495	889.7048389579	2187.6745123919	1027.03300881146	1023.09616500036
mmu-miR-125b-5p	511.946217723744	710.116104643017	1768.81454465496	785.47670010776	1810.47606260193	1811.30034405801
mmu-let-7d-5p	955.760289556393	638.210024359355	1812.91320741631	782.402634749714	1633.62222154674	1527.50366397595
mmu-miR-195a-5p	749.665854477721	1197.19557900392	1394.54862108947	1207.04766317504	1481.12737599364	1504.67040270545
mmu-miR-145a-5p	963.825777231974	1852.24951554603	895.360349279567	1239.06034380022	1539.8275326804	1108.20195700859
mmu-miR-103-3p	1903.87959078855	1682.76490951395	917.194914445495	1793.24012627841	986.162632337579	941.726724836396
mmu-miR-23b-3p	863.21943096288	1032.12523961283	1270.34216022755	1135.17813514899	1272.50639131973	1335.20608905785
mmu-miR-92a-3p	952.152045069948	1180.70016155597	1431.48841002592	270.517751508098	1371.38633440171	1469.05051512347
mmu-let-7j	1799.02825100599	1151.89126347786	1022.0724159802	1424.77629232772	848.358521185237	878.623893688833
mmu-miR-130a-3p	522.558701507404	1021.78656247996	1119.43309999877	880.772726207204	1070.85408834874	1122.64918413974
mmu-miR-99a-5p	599.180834425427	969.628517169191	856.559253148638	967.270565247411	1009.01488584986	989.801118565921
mmu-miR-200a-3p	1432.68531079406	1376.90269725727	679.233948505999	1136.55616444742	744.330542971373	675.947563647778
mmu-miR-126b-5p	670.49672545162	1214.3879859215	716.030559965957	1417.03812780574	758.707372790912	675.117263237942
mmu-miR-183-5p	476.500521886321	1352.97272546658	621.175481786104	1291.10745037956	615.566883757955	661.168216352691
mmu-miR-133a-3p	245.148375402539	689.67108020049	157.709990362428	119.146533187736	1774.43981667872	971.119359344603
mmu-miR-24-2-5p	416.64611334648	476.392302493213	937.382938631698	514.322935077308	919.80320386923	935.250381639673
mmu-miR-25-3p	988.871238961411	914.101689421872	642.938458213783	907.27328963864	650.347511356314	649.9591608199
mmu-miR-30a-3p	1110.27805344648	1187.67005625228	803.44040936792	566.900052925277	529.933714003152	549.326751147734
