LENGTH	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
0	11	7	10	11	7	17
1	1	12	9	4	15	3
2	9	24	25	12	12	24
3	39	80	99	40	14	50
4	37	102	150	73	23	92
5	42	153	207	95	58	166
6	22	83	106	48	24	55
7	22	43	82	37	19	41
8	49	54	62	79	31	58
9	36	69	75	43	29	69
10	49	127	157	95	42	130
11	64	123	118	95	41	126
12	499	158	161	865	124	650
13	1128	990	1241	1857	439	1975
14	3488	4565	5081	5007	1989	6894
15	9433	11782	11843	12335	5536	17671
16	1755878	1326011	1272273	1793528	476507	2421970
17	19573	17450	14662	26677	6513	34788
18	143768	100834	83642	176574	40012	206623
19	1460526	453171	780906	1440594	488811	2149009
20	833336	488387	460112	910623	236885	1173624
21	6170446	3867468	3620351	6962479	1764136	8318631
22	2192546	1965904	1583974	2465423	926773	2912817
23	1962139	2669208	2138755	2206724	1204921	2583623
24	399532	476230	363917	474276	203844	544427
25	110773	207039	145902	138190	72864	172922
26	69065	164188	110507	95493	53011	115671
27	96793	225753	144758	124266	79190	153259
28	132999	291316	201250	164893	116525	208682
29	109727	275417	201793	164542	209305	207833
30	268761	1033556	745442	469606	1129568	651327
31	242620	1325489	880823	376294	2742665	401987
32	625764	403903	920034	832934	7145897	1067194
33	111766	431022	621941	147470	612204	198952
34	142792	714694	555508	225111	643528	211662
35	61994	523486	288174	81615	243333	92677
36	46117	345308	172994	67504	124551	65632
37	50204	312648	156411	60127	101259	64695
38	64125	338214	185602	74500	120561	83835
39	64389	405975	262406	73193	164951	83871
40	295599	680667	833606	298629	457201	335182
41	67662	462416	298118	74950	207571	79406
42	35456	258361	175648	39877	122924	44582
43	18941	146810	89377	20835	60555	25558
44	13827	137424	82284	15889	46093	19814
45	10349	111272	85476	12667	44226	18723
46	23413	105630	81572	27066	39259	28268
47	12915	54534	28728	15858	24017	17050
48	258484	60530	31928	267211	24711	323934
49	2570486	78271	71059	2747739	39236	3034841
50	5022016	262578	221690	5575622	155844	6149800
