DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
0	0	0	0	0	0	0
1	25	4	8	19	8	2
2	25	4	8	19	8	2
3	25	8	8	29	13	3
4	25	12	8	29	14	3
5	26	12	11	29	25	4
6	38	12	12	29	25	6
7	42	12	12	30	29	6
8	42	13	14	30	29	7
9	48	13	14	32	44	16
10	48	14	14	32	52	16
11	50	14	15	39	54	16
12	50	14	16	39	54	16
13	52	15	16	45	55	19
14	55	15	17	50	55	19
15	64	16	17	50	55	21
16	88	17	19	53	55	21
17	94	19	23	55	66	23
18	94	19	27	62	87	25
19	97	19	27	72	111	36
20	107	19	27	72	118	36
21	107	19	27	72	118	45
22	113	19	27	72	150	45
23	133	20	28	72	150	46
24	133	31	30	72	152	60
25	156	35	34	98	180	60
26	168	35	34	124	180	67
27	211	38	40	135	192	70
28	211	40	53	143	197	70
29	211	41	53	145	197	70
30	211	45	53	155	197	71
31	215	46	56	164	197	71
32	215	63	56	172	203	77
33	230	73	58	175	203	81
34	263	78	62	180	214	83
35	265	78	62	180	240	83
36	265	81	66	184	241	86
37	289	81	66	197	252	91
38	289	82	66	201	252	91
39	344	83	75	201	252	102
40	344	83	83	207	299	102
41	417	104	83	218	299	103
42	417	111	91	257	299	108
43	417	111	95	273	299	108
44	440	124	124	273	302	108
45	458	133	153	303	302	111
46	458	133	159	306	395	124
47	527	142	162	310	395	157
48	527	148	162	338	395	170
49	532	200	162	338	416	172
50	544	231	162	339	416	172
51	551	231	167	365	445	172
52	551	241	172	365	477	172
53	551	241	172	416	477	176
54	689	245	176	416	477	183
55	744	273	193	416	516	183
56	744	273	194	529	533	190
57	755	273	203	559	558	190
58	758	280	208	677	598	197
59	763	280	214	717	598	197
60	763	285	214	850	604	207
61	764	285	224	1003	668	215
62	830	285	224	1003	684	215
63	971	285	237	1155	720	215
64	971	287	237	1172	942	263
65	997	308	239	1309	955	263
66	1032	441	239	1375	956	263
67	1146	441	247	1523	956	308
68	1167	520	254	1591	995	312
69	1167	532	254	1612	1099	330
70	1186	532	294	1664	1172	330
71	1386	622	371	1670	1178	386
72	1521	690	420	1835	1178	471
73	1521	732	420	1878	1337	471
74	1596	761	433	1878	1389	538
75	1601	779	476	1930	1417	543
76	1608	803	494	1975	1417	578
77	1767	877	557	2422	1582	578
