miRNA	Lung_M3_.	Lung_F2_.	Lung_F3_.	Lung_F1_.	Lung_M1_.	Lung_M2_.
mmu-miR-30a-5p	2537514	1894711	839369	2042665	1839349	1924951
mmu-miR-30a-3p	9369	11782	5962	6038	7340	12481
mmu-miR-10a-5p	4531068	1919218	994813	2029555	3269918	3431423
mmu-miR-10a-3p	625	429	137	493	412	477
mmu-miR-27a-5p	110	55	44	48	82	110
mmu-miR-27a-3p	110871	59915	24888	67176	85465	103189
mmu-miR-27b-3p	337098	168040	73156	168768	262729	292861
mmu-miR-27b-5p	213	116	74	175	164	270
mmu-miR-143-5p	607	282	212	223	393	436
mmu-miR-143-3p	2193222	1112088	708232	405223	1454221	1426328
mmu-miR-26a-5p	2389792	639714	283695	968670	1856503	123875
mmu-miR-26a-1-3p	5	9	3	11	1	6
mmu-miR-26b-5p	138314	89994	48271	106333	91712	90502
mmu-miR-26b-3p	245	41	19	60	189	259
mmu-let-7f-5p	165700	38354	69317	150921	64872	221800
mmu-let-7f-2-3p	161	293	105	390	100	125
mmu-miR-451a	33648	35836	11812	42064	25856	25222
mmu-miR-16-5p	136532	71844	753	71975	131551	2864
mmu-miR-16-1-3p	101	81	53	76	75	74
mmu-miR-125a-5p	278110	62399	29351	86841	232230	261231
mmu-miR-125a-3p	196	51	29	44	137	197
mmu-miR-34c-5p	84794	55708	23391	65487	55614	51978
mmu-miR-34c-3p	1499	496	286	540	859	992
mmu-miR-30d-5p	648179	356940	178952	432583	491518	524254
mmu-miR-30d-3p	1526	1199	517	1541	1155	1274
mmu-miR-486a-5p	568724	389173	291381	671592	484532	511798
mmu-miR-486a-3p	95	39	41	78	69	112
mmu-miR-486b-5p	699	557	417	949	520	583
mmu-miR-151-5p	55985	11642	3756	15349	42444	52046
mmu-miR-151-3p	121527	56076	24002	77476	96861	113621
mmu-miR-126a-5p	38829	96034	37537	159836	33244	59367
mmu-miR-126a-3p	76337	53666	21134	74764	53850	70404
mmu-miR-153-5p	18	10	5	24	6	11
mmu-miR-153-3p	515	386	100	362	353	450
mmu-let-7c-5p	218939	59053	11891	5048	133169	173317
mmu-let-7c-2-3p	293	899	345	962	200	385
mmu-miR-181a-5p	660807	20290	218958	430098	44075	638610
mmu-miR-181a-1-3p	984	1329	678	1524	722	850
mmu-miR-330-5p	780	313	115	282	656	883
mmu-miR-330-3p	188	85	27	93	121	195
mmu-miR-146b-5p	384066	265747	196896	439287	325462	314979
mmu-miR-146b-3p	17	10	6	9	20	22
mmu-miR-141-5p	272	186	108	152	199	217
mmu-miR-141-3p	219703	97132	31636	103886	160514	147787
mmu-miR-146a-5p	459275	138464	63384	229985	352655	436820
mmu-miR-146a-3p	4	9	2	6	3	6
mmu-let-7i-5p	99635	50534	40033	63350	75574	115242
mmu-let-7i-3p	87	164	65	47	38	71
mmu-let-7b-5p	57200	19161	13645	22998	39629	53961
mmu-let-7b-3p	770	796	360	967	774	836
mmu-miR-99b-5p	188883	85865	23085	90971	153022	154431
mmu-miR-99b-3p	243	201	141	247	183	251
mmu-miR-181b-5p	15807	2622	4788	5285	13309	19224
mmu-miR-181b-1-3p	124	102	45	154	67	98
mmu-miR-191-5p	218890	100422	34401	147140	185213	231383
mmu-miR-191-3p	42	12	6	19	25	38
mmu-miR-181c-5p	61841	57749	28880	56704	46675	54720
mmu-miR-181c-3p	725	742	415	465	523	568
mmu-miR-21a-5p	88072	97813	55640	130833	62207	74262
mmu-miR-21a-3p	1686	645	430	115	1113	1330
mmu-miR-351-5p	60027	32120	24362	26270	46787	57137
mmu-miR-351-3p	64	17	10	11	44	64
mmu-miR-24-2-5p	14767	4156	1985	4916	11357	13192
mmu-miR-24-3p	87218	58336	28433	3642	17623	68107
mmu-miR-145a-5p	24801	16348	4687	11974	13508	12698
mmu-miR-145a-3p	8113	3308	1239	3173	5268	6273
mmu-miR-29a-5p	82	132	40	140	62	71
mmu-miR-29a-3p	43095	20652	5415	25181	30309	33704
mmu-miR-142a-5p	72418	23758	5512	33714	49829	58522
mmu-miR-142a-3p	5343	2334	657	2062	3437	3516
mmu-miR-10b-5p	110935	171222	59713	83648	74732	67034
mmu-miR-10b-3p	17	18	4	6	15	13
mmu-miR-125b-5p	16978	1508	2420	5547	2781	15799
mmu-miR-125b-2-3p	5598	3182	1528	1480	4322	4577
mmu-miR-22-5p	121	120	42	120	84	135
mmu-miR-22-3p	236860	93864	36996	92857	177422	221564
mmu-miR-199a-5p	4169	1300	1140	1843	2062	440
mmu-miR-199a-3p	48723	22171	8836	41282	32120	18584
mmu-miR-199b-5p	766	871	227	707	492	558
mmu-miR-199b-3p	40	52	16	43	34	50
mmu-miR-101a-5p	179	92	19	82	92	92
mmu-miR-101a-3p	46905	71619	37562	41712	33061	33672
mmu-let-7f-1-3p	106	217	71	241	72	89
mmu-miR-1a-3p	17105	3379	567	743	3527	1086
mmu-miR-1a-2-5p	0	1	0	0	0	0
mmu-let-7a-5p	84601	12499	2301	44016	16164	30158
mmu-let-7a-2-3p	3	2	3	0	7	4
mmu-miR-186-5p	44365	31940	10346	43912	34404	40037
mmu-miR-186-3p	9	15	1	6	2	8
mmu-miR-322-5p	34295	14865	4956	12195	25088	25628
mmu-miR-322-3p	3148	1598	667	1564	2202	2528
mmu-miR-26a-2-3p	59	53	20	53	26	29
mmu-miR-30c-5p	70297	69727	2846	85922	53870	3925
mmu-miR-30c-1-3p	134	19	6	34	103	104
mmu-miR-181b-2-3p	5	0	2	3	1	2
mmu-miR-92a-1-5p	176	66	17	100	92	106
mmu-miR-92a-3p	165956	102044	46442	75550	113552	133767
mmu-miR-320-3p	3054	1673	1193	2240	2112	2703
mmu-let-7a-1-3p	2	1	1	0	0	0
mmu-miR-1a-1-5p	1	0	0	0	1	0
mmu-miR-23a-3p	43723	16106	6180	19384	33216	35937
mmu-miR-23a-5p	1	1	0	1	3	1
mmu-miR-30e-5p	112566	121557	45720	133234	81356	89441
mmu-miR-30e-3p	2008	2543	1413	2127	1587	2797
mmu-let-7g-5p	39404	20764	17060	28149	28460	38598
mmu-let-7g-3p	40	89	25	76	27	29
mmu-miR-24-1-5p	348	183	84	186	266	244
mmu-miR-181a-2-3p	698	306	260	335	510	499
mmu-miR-92b-5p	49	25	8	22	21	42
mmu-miR-92b-3p	45826	24818	12408	36702	35975	33448
mmu-miR-30b-5p	27283	31130	10488	32063	20396	27234
mmu-miR-30b-3p	768	550	271	585	517	701
mmu-miR-335-5p	2578	1848	786	2033	1854	1901
mmu-miR-335-3p	326	613	172	690	222	297
mmu-miR-23b-3p	30340	17490	9548	21677	24343	40804
mmu-miR-23b-5p	11	2	3	7	5	8
mmu-miR-15a-5p	3201	1729	511	1606	2248	2460
mmu-miR-15a-3p	238	73	25	78	164	180
mmu-miR-149-5p	301	103	27	55	171	123
mmu-miR-149-3p	3	0	0	1	1	1
mmu-miR-29c-5p	136	182	73	173	120	114
mmu-miR-29c-3p	5379	3479	877	3815	3807	4117
mmu-miR-423-5p	13541	1403	1232	2464	10364	13771
mmu-miR-423-3p	6426	1127	1080	775	4936	6079
mmu-miR-375-3p	9406	6078	2542	6469	6578	5515
mmu-miR-3535	5758	6059	2825	7148	4479	4473
mmu-miR-130a-5p	10	1	0	4	3	3
mmu-miR-130a-3p	19653	10502	2781	10079	15546	18035
mmu-miR-378a-5p	211	131	44	68	97	153
mmu-miR-378a-3p	14546	11241	6603	10977	9453	8925
mmu-miR-182-5p	42804	37134	27562	42909	32803	40313
mmu-miR-182-3p	4	0	0	0	0	2
mmu-miR-195a-5p	27167	13163	4468	14529	20642	22654
mmu-miR-195a-3p	377	251	191	363	275	403
mmu-miR-342-5p	95	17	19	18	65	99
mmu-miR-342-3p	6445	2649	930	3024	4699	4463
mmu-miR-133a-3p	27134	7116	1271	872	4804	1056
mmu-miR-133a-5p	27	3	7	16	14	1
mmu-miR-144-5p	1742	1665	1546	2777	1469	1589
mmu-miR-144-3p	4563	1509	430	2025	3599	3583
mmu-miR-221-5p	2764	1214	744	632	2311	2619
mmu-miR-221-3p	7036	6141	3381	7636	5171	6973
mmu-miR-671-5p	131	90	61	109	100	127
mmu-miR-671-3p	836	199	140	357	654	770
mmu-miR-200c-5p	4	4	2	3	0	2
mmu-miR-200c-3p	2736	3268	1980	3223	2241	2905
mmu-miR-541-5p	2296	2271	1226	1911	1578	1781
mmu-miR-541-3p	2	0	0	1	1	0
