task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	1a/a7034a	2192418	output_documentation	CACHED	0	2022-05-09 19:43:21.998	3.7s	405ms	86.2%	18.7 MB	25.6 MB	3.9 MB	799.3 KB
5	3c/6a197a	2186249	fastqc (Lung_F2_*.fastq)	CACHED	0	2022-05-09 19:43:16.322	48.9s	45.4s	111.8%	406.8 MB	3.5 GB	1.7 GB	2.5 MB
14	43/9a42c6	2468157	trim_galore (Lung_M3_*.fastq)	CACHED	0	2022-05-10 06:45:07.337	7m 25s	7m 21s	133.0%	264 MB	3.4 GB	11.5 GB	7.7 GB
15	8c/d221a5	2252083	mirtrace ([Lung_M1_*.fastq, Lung_F1_*.fastq, Lung_F2_*.fastq, Lung_M2_*.fastq, Lung_F3_*.fastq, Lung_M3_*.fastq])	CACHED	0	2022-05-09 19:47:33.153	5m 24s	5m 22s	380.6%	2.9 GB	47.9 GB	15.2 GB	650.6 MB
2	07/40212a	2186260	make_bowtie_index	CACHED	0	2022-05-09 19:43:16.355	5.6s	2.1s	112.2%	99.4 MB	897.3 MB	14.1 MB	18.7 MB
17	32/18584a	2554496	insertsize (Lung_M3_*_trimmed.fq.gz)	CACHED	0	2022-05-10 06:52:32.983	1m 5s	1m 2s	100.8%	9.2 MB	24.4 MB	4.1 GB	3.6 GB
20	89/6aa058	2602759	collapse (Lung_M3_*_trimmed.fq.gz)	CACHED	0	2022-05-10 07:09:27.166	7m 40s	7m 38s	100.3%	1016.2 MB	6 GB	450.8 MB	107.3 MB
18	d0/311f9b	2607057	bowtie_miRBase_mature (Lung_M3_*_trimmed.fq.gz)	CACHED	0	2022-05-10 07:11:42.491	4m 41s	4m 39s	452.8%	24.9 MB	12.4 GB	10.4 GB	7.5 GB
22	a8/b13da1	2671282	bowtie_miRBase_hairpin_collapsed (Lung_M3_*.fastq)	CACHED	0	2022-05-10 07:29:00.542	14.5s	12.1s	586.0%	26.4 MB	12.4 GB	251.6 MB	167.1 MB
24	72/61b29b	2668223	bowtie_miRBase_hairpin (Lung_M3_*.mature_unmapped.fq.gz)	CACHED	0	2022-05-10 07:28:26.831	3m 44s	3m 42s	430.4%	26.4 MB	12.4 GB	6.9 GB	5.1 GB
25	55/e17d9f	2688747	mirna_post_alignment (Lung_M3_*.hairpin.bam)	CACHED	0	2022-05-10 07:33:18.473	1m 20s	1m 17s	95.2%	1009.1 MB	1.1 GB	1.4 GB	576.2 MB
7	0a/228fb7	2720185	fastqc (Lung_F3_*.fastq)	COMPLETED	0	2022-05-10 08:37:22.872	52.2s	48.5s	110.2%	424.7 MB	3.5 GB	2 GB	2.8 MB
